ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,spk_delta,accum_bars,exit,result_r,taker_ratio
1771416300000,1771415880000,Long,London,67487.1,67284.72912,67891.84176000001,-7.681014347368349,1.509196235783312,-43.69599999999997,27,STOP,-1.0,0.67102
1771421820000,1771421520000,Long,LondonNyOverlap,67372.5,67278.43416,67560.63167999999,-5.448719252534473,2.2881144440014434,-82.544,26,STOP,-1.0,0.746013
1771425120000,1771425060000,Short,LondonNyOverlap,67170.2,67353.84,66802.92,-4.856979615517234,3.1145262664074393,120.88899999999995,11,TARGET,2.0,0.776631
1771438620000,1771438500000,Long,NewYork,67130.5,66992.26328,67406.97344,-10.0,1.616112499743274,-56.284,10,STOP,-1.0,1.172563
1771457700000,1771457580000,Short,Asia,66356.4,66450.01752,66169.16496,-10.0,2.6332283847726536,4.489999999999995,27,STOP,-1.0,1.767938
1771459980000,1771459620000,Short,Asia,66377.4,66587.2272,65957.7456,3.0426045069973084,2.9636176333166326,99.57999999999998,11,STOP,-1.0,0.873683
1771462920000,1771462860000,Short,Asia,66499.2,66597.7356,66302.12879999999,1.8538508615468323,1.5997333649040266,43.185,20,STOP,-1.0,5.606096
1771465680000,1771465200000,Short,Asia,66737.5,66828.11975999999,66556.26048000003,4.720956082035069,2.130062537708471,70.15899999999999,10,STOP,-1.0,1.18756
1771472160000,1771471920000,Long,Asia,66904.0,66758.65032,67194.69936,3.239272488128084,3.1231743952995514,-58.842,14,STOP,-1.0,0.86708
1771477740000,1771477620000,Long,Asia,66716.1,66616.664,66914.97200000001,-1.3382014047606399,2.5188284684528894,-55.56400000000001,10,TARGET,2.0,1.172037
1771482720000,1771482660000,Short,Asia,67170.1,67329.22032,66851.85936000003,4.864776997796204,5.420826573228132,166.245,10,TARGET,2.0,0.696075
1771486740000,1771486620000,Short,Asia,67156.1,67353.23951999999,66761.82096000004,10.0,3.5909768867471863,41.459,21,TIMEOUT,0.0,1.436194
1771489200000,1771488900000,Long,London,67051.7,66931.21216,67292.67568,3.0315676948979475,2.714474738091796,-36.212999999999994,15,STOP,-1.0,1.051986
1771498320000,1771498260000,Long,London,66791.0,66687.1076,66998.7848,-2.4951632604058043,2.4092185139471938,-30.60499999999999,20,STOP,-1.0,0.464425
1771502940000,1771502580000,Long,London,66512.9,66357.8712,66822.9576,-4.78913042271108,2.1426338076132536,-105.601,10,STOP,-1.0,0.712629
1771534860000,1771534800000,Long,NewYork,67063.4,66952.99472,67284.21055999998,6.529284521451068,2.281585751158447,-59.13000000000001,14,STOP,-1.0,2.85525
1771538460000,1771538400000,Long,Asia,66889.3,66808.11072000001,67051.67855999999,10.0,1.5117783332102945,-12.562999999999995,14,STOP,-1.0,0.459342
1771547640000,1771547160000,Short,Asia,67241.9,67543.992,66637.71599999999,1.3554310493290012,14.577159424974923,682.9189999999999,10,TIMEOUT,0.0,1.252078
1771566360000,1771566300000,Short,Asia,67918.8,68004.25991999998,67747.88016000004,2.925114240384491,2.585536306518128,177.25,11,TARGET,2.0,1.2967
1771569060000,1771568580000,Long,Asia,67777.2,67636.14776,68059.30447999998,6.702263527304539,1.5357212012735537,-227.367,16,TIMEOUT,0.0,1.481574
1771573800000,1771573560000,Long,Asia,67895.6,67740.2644,68206.27120000002,10.0,2.1412606461772894,-36.94699999999999,25,STOP,-1.0,0.709929
1771582080000,1771581960000,Long,London,68232.1,68065.0044,68566.2912,10.0,1.5325923628046756,-61.623000000000005,10,STOP,-1.0,0.860659
1771589880000,1771589580000,Short,London,67338.0,67529.08008,66955.83984,-3.498646284403635,2.1056268732978998,29.05699999999996,15,STOP,-1.0,1.078342
1771591920000,1771591860000,Short,London,67475.9,67591.12968,67245.44063999999,-1.7670213086233781,1.9619156977199104,48.92500000000001,12,TARGET,2.0,1.128531
1771594200000,1771593780000,Long,LondonNyOverlap,67125.9,66947.3992,67482.90159999998,-9.861463562954595,1.9471869617134918,-133.619,10,STOP,-1.0,1.574222
1771617060000,1771616520000,Long,NewYork,67638.3,67536.02792000001,67842.84416,3.7295703578427912,1.7831667118128385,-63.34700000000001,11,STOP,-1.0,1.262388
1771621320000,1771621260000,Short,NewYork,67697.1,67827.11832,67437.06336000003,10.0,3.146898413231568,110.82200000000003,25,STOP,-1.0,1.92767
1771623840000,1771623420000,Short,NewYork,67730.0,67810.80528,67568.38944,10.0,2.9474135819667135,125.263,14,STOP,-1.0,2.364224
1771628820000,1771628400000,Short,Asia,68058.0,68177.79864,67818.40272000001,10.0,2.705186237475651,30.295999999999992,13,TARGET,2.0,0.862889
1771631100000,1771630740000,Long,Asia,67973.5,67825.696,68269.10800000001,10.0,1.7306919867952948,-98.77700000000002,11,STOP,-1.0,0.48215
1771633800000,1771633500000,Long,Asia,67901.4,67802.81432,68098.57135999997,-2.857662826554632,1.936980802992647,-66.77,19,STOP,-1.0,2.480057
1771640040000,1771639980000,Short,Asia,67952.9,68042.39039999999,67773.9192,3.046720347977538,2.795018762406771,51.497000000000014,43,STOP,-1.0,1.046268
1771649580000,1771649040000,Long,Asia,67735.9,67600.97592,68005.74815999999,-5.82831963201333,3.0019252659703906,-97.203,17,TIMEOUT,0.0,0.779877
