id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
88167,1779919620000,OffHours,74687.5,74698,74620,74630.7,99.639,-15.421,,,,0.275,,,,,,,,,75292.7,,90.0337,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:07:00
88168,1779919680000,OffHours,74630.6,74644.2,74534,74562.7,147.914,-67.7,,,,0.4068,,,,,,,,,75291.9,,91.4742,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:08:00
88169,1779919740000,OffHours,74562.7,74575,74484.9,74512.7,99.569,-10.557,,,,0.2735,,,,,,,,,75291.3,,91.376,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:09:00
32102,1779919800000,OffHours,74512.7,74512.7,74278.6,74363.1,1858.68,-896.991,,,,2.9424,,,,,,,,,75279.4,,156.441,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:10:00
88170,1779919800000,OffHours,74512.7,74512.7,74400.1,74403.8,280.084,-141.106,,,,0.8391,,,,,,,,,75289.5,,92.892,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:10:00
88171,1779919860000,OffHours,74403.8,74403.8,74339.7,74345.1,364.964,-210.98,,,,1.0747,,,,,,,,,75287,,90.8354,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:11:00
88172,1779919920000,OffHours,74345.1,74381,74321,74339.1,310.654,-122.818,,,,0.8959,,,,,,,,,75284.8,,88.6329,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:12:00
88173,1779919980000,OffHours,74339.1,74361.8,74280,74280.4,614.458,-328.572,,,,1.6922,,,,,,,,,75280.4,,88.1448,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:13:00
88174,1779920040000,OffHours,74280.4,74370.9,74278.6,74363.1,288.517,-93.515,,,,0.8878,,,,,,,,,75278.3,,88.4416,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:14:00
32103,1779920100000,OffHours,74363.1,74528.9,74218.2,74459.9,1972.08,216.401,,,,2.8587,,,,,,,,,75266.7,,167.46,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:15:00
88175,1779920100000,OffHours,74363.1,74363.1,74218.2,74257,652.789,-449.459,,,,1.9351,,,,,,,,,75273.5,,92.4744,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:15:00
88176,1779920160000,OffHours,74257,74470.9,74246.3,74438.6,401.184,154.494,,,,1.1967,,,,,,,,,75270.9,,101.912,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:16:00
88177,1779920220000,OffHours,74438.7,74474.9,74387.8,74445.4,410.163,247.975,,,,1.271,,,,,,,,,75268.4,,100.854,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:17:00
88178,1779920280000,OffHours,74445.4,74521.9,74404.6,74521.9,429.265,295.647,,,,1.3227,,,,,,,,,75265.9,,102.029,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:18:00
88179,1779920340000,OffHours,74521.9,74528.9,74459.3,74459.9,78.682,-32.256,,,,0.2459,,,,,,,,,75265.4,,99.7123,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:19:00
32104,1779920400000,OffHours,74459.8,74549.2,74444.4,74505.7,432.197,116.725,,,,0.6238,,,,,,,,,75264.3,,162.984,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:20:00
