idx,sym,dir,session,isPreBreakout,score,entry,stop,target,exit,resultR,pnlUsd,reason,tsMs,closedAt,durationMin,rangePct,rangeBars,vr,cvdInRange,cvdSlope,obi,priceVsVwap,stopPct,riskUsd,equity,confluenceFlags,vetoReason,win
24,BTCUSDT,Short,NewYork,0,2,61972.6,62139.2,61639.4,61656.06,1.9,19.0,TRAILING_STOP,1781039880000,2026-06-09T22:03:00+00:00,45,0.2175,15,4.33,-321.85,-46.4481,-0.738741,0.043,0.269,10.0,599.84,stacked_imbalance|lvn_thin,,1
25,SOLUSDT,Short,NewYork,1,2,65.26,65.63,64.15,64.557,1.9,19.0,TRAILING_STOP,1781039940000,2026-06-10T00:43:00+00:00,204,0.4444,20,2.56,-1889.52,-3956,0.0327146,-0.139,0.567,10.0,618.84,stacked_imbalance|vwap_bias,,1
26,XRPUSDT,Short,London,1,1,1.1133,1.1181,1.0989,1.10418,1.9,19.0,TRAILING_STOP,1781078460000,2026-06-10T08:37:00+00:00,36,0.2515,15,2.08,-1164045.8,-177686,-0.148751,0.0,0.431,10.0,637.84,stacked_imbalance,,1
27,SOLUSDT,Short,London,0,2,64.16,64.6,63.28,63.324,1.9,19.0,TRAILING_STOP,1781078580000,2026-06-10T09:16:00+00:00,73,0.4832,15,3.43,-86600.2,-13076.3,0.114849,-0.114,0.686,10.0,656.84,stacked_imbalance|vwap_bias,,1
28,BTCUSDT,Short,London,0,3,60922.3,61230.8,60305.3,61230.8,-1.0,-10.0,STOP_LOSS,1781083200000,2026-06-10T09:30:00+00:00,10,0.4191,15,5.24,-528.11,-160.148,-0.991508,-0.686,0.506,10.0,646.84,stacked_imbalance|lvn_thin|vwap_bias,,0
29,XRPUSDT,Short,London,1,3,1.105,1.1099,1.0903,1.1099,-1.0,-10.0,STOP_LOSS,1781086680000,2026-06-10T10:30:00+00:00,12,0.4163,45,2.34,-135184.9,-176328,-0.296311,-0.467,0.443,10.0,636.84,stacked_imbalance|lvn_thin|vwap_bias,,0
30,SOLUSDT,Short,NewYork,0,2,64.06,64.66,62.86,62.92,1.9,19.0,TRAILING_STOP,1781112540000,2026-06-10T21:07:00+00:00,218,0.5308,15,4.66,-16407.67,-3173.17,-0.0573276,-1.378,0.937,10.0,655.84,stacked_imbalance|vwap_bias,,1
31,XRPUSDT,Short,NewYork,0,1,1.1014,1.1078,1.0886,1.08924,1.9,19.0,TRAILING_STOP,1781116800000,2026-06-10T21:51:00+00:00,191,0.5266,15,3.9,-104373.1,-99360.6,-0.274668,-1.352,0.581,10.0,674.84,vwap_bias,,1
32,BNBUSDT,Short,NewYork,1,3,587,589.04,580.88,589.04,-1.0,-10.0,STOP_LOSS,1781122140000,2026-06-10T20:22:00+00:00,13,0.356,20,2.37,-32.05,-113.726,-0.689971,-0.926,0.348,10.0,664.84,stacked_imbalance|lvn_thin|vwap_bias,,0
33,XRPUSDT,Short,NewYork,0,2,1.0918,1.0989,1.0776,1.0989,-1.0,-10.0,STOP_LOSS,1781125800000,2026-06-10T22:43:00+00:00,93,0.5129,15,8.1,-606210.5,-250433,-0.194093,-1.687,0.65,10.0,654.84,stacked_imbalance|vwap_bias,,0
34,BTCUSDT,Short,NewYork,0,4,63683.2,63878.6,63292.4,63878.6,-1.0,-10.0,STOP_LOSS,1781287620000,2026-06-12T18:11:00+00:00,4,0.1699,15,4.49,-38.49,-37.1989,0.782017,-0.176,0.307,10.0,644.84,stacked_imbalance|lvn_thin|vwap_bias|obi_trap,,0
36,XRPUSDT,Short,NewYork,1,3,1.1317,1.1348,1.1224,1.1348,-1.0,-10.0,STOP_LOSS,1781292720000,2026-06-12T19:36:00+00:00,4,0.3181,15,1.93,-4159.5,-5258.83,0.150869,-0.029,0.274,10.0,637.26,stacked_imbalance|vwap_bias|obi_trap,,0
