id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
141213,1778745780000,London,669.38,669.7,669.33,669.67,204.13,85.91,,,,0.9328,,,,,,,,,671.174,,0.425269,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:03:00
141214,1778745840000,London,669.66,669.67,669.27,669.33,162.1,-30.54,,,,0.7576,,,,,,,,,671.173,,0.423464,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:04:00
42719,1778745900000,London,669.33,670.45,668.89,670.35,2103.93,309.25,,,,1.4099,,,,,,,,,671.146,,1.11636,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:05:00
141215,1778745900000,London,669.33,669.42,669.14,669.33,239.04,-58.9,,,,1.2087,,,,,,,,,671.17,,0.413216,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:05:00
141216,1778745960000,London,669.34,669.59,669.14,669.15,497.6,-246.74,,,,2.4512,,,,,,,,,671.165,,0.415844,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:06:00
141217,1778746020000,London,669.14,669.93,668.89,669.87,475.16,164.44,,,,2.1886,,,,,,,,,671.16,,0.460426,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:07:00
141218,1778746080000,London,669.86,670,669.62,669.75,241.28,-32.82,,,,1.1272,,,,,,,,,671.158,,0.454682,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:08:00
141219,1778746140000,London,669.75,670.45,669.75,670.35,650.85,483.27,,,,2.8001,,,,,,,,,671.155,,0.472204,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:09:00
42720,1778746200000,London,670.35,671.19,670.31,670.99,1829.43,553.13,,,,1.2064,,,,,,,,,671.142,,1.09948,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:10:00
141220,1778746200000,London,670.35,671.12,670.31,671.02,359.52,158.06,,,,1.4911,,,,,,,,,671.154,,0.496333,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:10:00
141221,1778746260000,London,671.02,671.19,670.85,670.92,354.83,-4.47,,,,1.4191,,,,,,,,,671.154,,0.485166,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:11:00
141222,1778746320000,London,670.92,670.94,670.67,670.68,223.42,-32.44,,,,0.8825,,,,,,,,,671.153,,0.469797,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:12:00
141223,1778746380000,London,670.67,670.77,670.64,670.76,458.27,127.15,,,,1.7307,,,,,,,,,671.152,,0.445526,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:13:00
