ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,exit,result_r,m_taker,m_oi_d,m_tt
1704951420000,1704951360000,Long,Asia,46224.9,46165.0384,46344.62320000001,-8.124537152001292,2.6400081321098203,STOP,-1.0,0.97812633,-13.895999999993364,1.32471142
1704964140000,1704963960000,Short,London,46298.0,46371.66767999999,46150.66464000002,1.9458184544582957,1.6801167081308828,STOP,-1.0,1.0846922,1.8579999999928987,1.31692073
1704968220000,1704968100000,Short,London,46311.9,46386.07919999999,46163.54160000002,2.5953317407795793,4.564650323844417,STOP,-1.0,1.70924646,9.453000000008615,1.31640542
1704970920000,1704970320000,Short,London,46751.4,46877.471999999994,46499.256000000016,5.645404024030021,1.944536951165245,STOP,-1.0,0.96219987,-19.64299999999639,1.29813199
1704976560000,1704976500000,Short,London,47207.5,47280.293999999994,47061.91200000001,10.0,2.5582348393079837,STOP,-1.0,1.32788844,200.58699999999953,1.2932536
1704978000000,1704977580000,Short,LondonNY,47345.0,47421.907199999994,47191.18560000001,10.0,1.5794490179228569,TARGET,2.0,0.8117224,125.43399999999383,1.29440841
1704980100000,1704979740000,Long,LondonNY,47184.1,47037.43992,47477.42016,9.178456669747147,2.2365801856937217,STOP,-1.0,0.87189084,0.7090000000025611,1.28305392
1704998520000,1704998280000,Short,NewYork,46569.1,46671.60744,46364.085119999996,-5.733939643509038,1.6508747400018626,TARGET,2.0,0.96793237,-71.10100000000966,1.37262214
1704999660000,1704999060000,Long,NewYork,46477.2,46366.377199999995,46698.8456,-10.0,1.8703938073509168,STOP,-1.0,0.58887933,-79.76399999999558,1.36379477
1705019160000,1705018920000,Long,Asia,46236.5,46163.04,46383.42,-1.669058555238469,4.555229361089282,STOP,-1.0,0.95421262,6.480999999999767,1.35031879
1705019700000,1705019580000,Long,Asia,46402.9,45963.2,47282.30000000001,-1.7830695877785565,13.019547860449315,STOP,-1.0,1.61152289,-18.472999999998137,1.35295588
1705023060000,1705022520000,Long,Asia,46045.4,45900.84992,46334.50016,-3.8568508172550335,3.035750882647019,TIMEOUT,0.0,0.82394791,84.14599999999336,1.37791667
1705034880000,1705034640000,Long,Asia,45988.6,45937.02096,46091.75807999999,-5.476145037053407,2.2278787496285744,STOP,-1.0,0.84966546,17.897000000011758,1.38763717
1705048320000,1705048260000,Long,London,45797.6,45684.023519999995,46024.752960000005,-7.11984237956893,1.660445590663013,STOP,-1.0,0.72785151,23.25100000000384,1.3638817
1705051800000,1705051680000,Long,London,45711.1,45524.5512,46084.19759999999,-8.126360046854188,5.5620112394870365,TARGET,2.0,1.00731696,131.40600000000268,1.35790813
1705069800000,1705069680000,Short,LondonNY,45757.4,45940.92335999999,45390.35328000002,-1.5207795957384385,3.7800312693065967,TARGET,2.0,0.65202829,202.39400000000023,1.35184796
1705072500000,1705072440000,Long,LondonNY,45215.9,45141.957519999996,45363.78496000001,-6.3450585091799265,1.6340492699758138,STOP,-1.0,0.77314981,276.3420000000042,1.35005424
1705115760000,1705115280000,Long,Asia,42614.6,42466.09992,42911.600159999995,-5.72178327253111,2.4806323305762206,STOP,-1.0,1.40276919,65.16500000000815,1.42543595
1705120860000,1705120740000,Long,Asia,42866.8,42704.90872,43190.58256000001,1.7669607229215352,1.6375260339251572,TIMEOUT,0.0,0.7175917,109.57800000000861,1.42711009
1705122960000,1705122840000,Short,Asia,42834.0,42926.313599999994,42649.37280000001,7.434674238050148,1.5303624075634445,STOP,-1.0,1.41313689,11.39900000000489,1.41896281
1705127220000,1705127100000,Short,Asia,43080.0,43216.5456,42806.908800000005,8.663895452264148,1.6363228892718797,STOP,-1.0,1.05432163,47.338000000003376,1.40071979
1705130100000,1705129680000,Short,Asia,43186.7,43261.5816,43036.936799999996,7.242174610732845,2.5215627557206735,STOP,-1.0,0.94046351,14.12599999998929,1.39366314
1705135020000,1705134480000,Short,London,43128.7,43289.604,42806.89199999999,10.0,3.289878411768329,TARGET,2.0,1.12415288,73.94599999999627,1.38302216
1705140180000,1705140120000,Long,London,42843.7,42780.14848,42970.803039999984,-0.9707180985846522,2.3265707387196874,STOP,-1.0,0.88005684,34.91099999999278,1.39081515
1705144140000,1705143780000,Long,London,42806.1,42620.97592,43176.34816,-5.216085174527777,2.3119637250811795,STOP,-1.0,0.6518799,101.92999999999302,1.41665615
1705154940000,1705154820000,Long,LondonNY,42698.2,42627.47072,42839.658559999996,-4.227854147260831,2.0717416827274073,TARGET,2.0,0.92844251,46.403000000005704,1.39178318
1705169580000,1705169280000,Long,NewYork,42828.4,42752.870319999995,42979.459360000015,-2.2159398879555843,2.489364596214002,STOP,-1.0,0.77850479,15.862999999997555,1.3970403
1705183200000,1705182900000,Short,Asia,42950.7,43008.07895999999,42835.94208000001,3.5651203494026413,1.7900840988552689,STOP,-1.0,1.06313992,-19.504000000000815,1.39891188
1705187280000,1705187220000,Short,Asia,42966.0,43032.498479999995,42833.00304000001,5.2715387453887725,2.5028616876881857,TARGET,2.0,0.68244438,24.81700000001001,1.39180807
1705188120000,1705188000000,Long,Asia,42900.3,42839.60088,43021.69824000001,0.5687113101457918,1.5932985736199847,STOP,-1.0,0.53084198,7.033000000010361,1.39059754
1705189020000,1705188660000,Long,Asia,42845.6,42796.03576,42944.72848,-0.7697026221306321,1.7617633275697684,STOP,-1.0,0.60860963,-28.635999999998603,1.38954813
1705191240000,1705191120000,Short,Asia,42830.1,42931.21752,42627.86496,2.816842817312616,2.6410324445542197,TIMEOUT,0.0,1.0024782,19.620999999999185,1.39353624
1705202400000,1705201920000,Short,Asia,42759.2,42834.24,42609.119999999995,1.5383066511628591,2.4396835452640717,TARGET,2.0,0.49577763,15.339999999996508,1.40714183
1705203300000,1705203060000,Long,Asia,42721.0,42655.848,42851.304000000004,-2.422560506552608,2.259267887774085,STOP,-1.0,1.1844415,3.9660000000003492,1.40535952
1705205100000,1705204860000,Long,Asia,42664.3,42618.278080000004,42756.34384,-3.8739439304357677,3.210991670518522,STOP,-1.0,0.86624704,31.245999999999185,1.39948769
1705205760000,1705205280000,Short,Asia,42624.9,42748.37135999999,42377.957280000024,-1.9158915238982683,1.9785595256593522,STOP,-1.0,0.85378436,28.96500000001106,1.40349097
1705206000000,1705205940000,Long,Asia,42637.9,42518.9576,42875.7848,-5.072851116665185,5.6198177415396104,TARGET,2.0,0.59354748,-13.09100000000035,1.40596104
1705215660000,1705215540000,Short,Asia,42978.6,43034.399999999994,42867.00000000001,5.259317747559207,4.115337748853752,STOP,-1.0,0.65481139,-109.38500000000931,1.40046601
1705216680000,1705216320000,Short,Asia,42979.8,43094.448,42750.504000000015,8.067549434406398,1.756300900436007,TIMEOUT,0.0,0.99542169,-1.2619999999878928,1.39308861
1705224420000,1705224360000,Long,London,42878.8,42810.823919999995,43014.75216000002,1.500758670804155,3.3787100721556986,TARGET,2.0,0.66162984,-7.828000000008615,1.39354253
1705224900000,1705224780000,Short,London,42893.5,42978.95567999999,42722.588640000016,5.381089186939319,2.7917701462468045,STOP,-1.0,0.7643735,-85.75199999999313,1.39585978
1705225200000,1705225020000,Long,London,42910.7,42809.724799999996,43112.6504,1.2159485657537485,1.5783664459161144,STOP,-1.0,1.91083196,-9.343000000008033,1.39785207
1705226760000,1705226160000,Short,London,42984.5,43081.4376,42790.624800000005,4.649970406057883,2.4556631029189324,TARGET,2.0,3.15781657,94.45299999999406,1.40122631
1705231380000,1705231320000,Short,London,42882.2,42925.212719999996,42796.17456,2.0210269372943963,1.7359990102509164,STOP,-1.0,2.4712087,-47.22499999999127,1.40447494
1705234080000,1705234020000,Long,London,42806.4,42735.88392,42947.432160000004,-3.0079917725437935,3.9239220623158135,STOP,-1.0,1.23758921,20.39999999999418,1.40872844
1705239780000,1705239600000,Short,LondonNY,42749.0,42869.56824,42507.86352,0.08812712350367718,2.157492527314895,STOP,-1.0,1.30680979,13.089000000007218,1.41300073
1705247940000,1705247400000,Short,LondonNY,42908.4,42981.25752,42762.684960000006,7.325500082062668,1.8739635815231084,STOP,-1.0,1.26232011,-26.33400000000256,1.41567953
1705250280000,1705249860000,Long,LondonNY,42947.6,42841.998960000004,43158.80207999999,1.665149300722216,1.707852896604594,TIMEOUT,0.0,0.7615697,0.5990000000019791,1.40784052
1705259760000,1705259700000,Long,NewYork,42823.0,42702.3108,43064.3784,-1.981185589503785,13.715652672467957,STOP,-1.0,0.64665875,28.77599999999802,1.40514365
1705299360000,1705299300000,Short,Asia,42769.9,42815.62512,42678.44976000001,10.0,2.627368554110632,TARGET,2.0,0.83108743,-37.76799999999639,1.31884932
1705309860000,1705309260000,Long,London,42660.8,42610.58424,42761.231520000016,7.299551601911994,1.7566251248096676,TARGET,2.0,0.88463285,12.23399999999674,1.31789944
1705326960000,1705326720000,Short,LondonNY,42874.0,42989.363999999994,42643.27200000001,6.957408372735704,6.5449330770066965,TARGET,2.0,1.87941924,-203.3509999999951,1.31071494
1705330200000,1705330140000,Long,LondonNY,42312.8,42197.41503999999,42543.56992000002,-4.988818792648304,2.004775672301088,STOP,-1.0,1.34687475,-19.85700000000361,1.3061305
1705337160000,1705337100000,Short,LondonNY,42480.9,42554.41632,42333.86736000001,0.32927378409320196,1.9711999035094392,STOP,-1.0,1.89271009,125.41500000000815,1.30968994
1705342440000,1705341960000,Short,NewYork,42722.9,42839.44415999999,42489.81168000002,8.663870834924513,2.5532634625955506,STOP,-1.0,1.67567417,20.505000000004657,1.31422784
1705361460000,1705360860000,Long,Asia,42579.9,42447.414880000004,42844.87024,-4.514670560791883,3.607624237974266,TIMEOUT,0.0,1.05749061,89.07499999999709,1.32079319
1705369020000,1705368720000,Long,Asia,42590.4,42522.55472,42726.090560000004,-1.6351600967805093,3.2103729049482324,TARGET,2.0,0.70480149,18.60000000000582,1.30248425
1705384920000,1705384860000,Long,Asia,42736.2,42670.835999999996,42866.928,-0.5555789857108473,2.9327817977460655,STOP,-1.0,0.58680099,-128.5570000000007,1.31149877
1705395720000,1705395600000,Short,London,42967.3,43117.76664,42666.366720000005,8.382484390951475,3.7282116945880874,STOP,-1.0,0.79861691,24.779000000009546,1.30022865
1705415520000,1705415460000,Short,LondonNY,42798.3,42989.26392,42416.37216000001,1.7179127011896513,2.7084646608947542,TARGET,2.0,1.40861524,60.89100000000326,1.30644784
1705436400000,1705436220000,Short,NewYork,43298.2,43367.666399999995,43159.2672,10.0,2.741020938208088,TARGET,2.0,0.90240845,-31.955999999991036,1.32621338
1705446000000,1705445880000,Long,Asia,43238.0,43165.44,43383.119999999995,10.0,2.7591471449763185,STOP,-1.0,1.94313414,-10.793999999994412,1.32032889
1705448040000,1705447980000,Long,Asia,43170.9,43075.0124,43362.675200000005,10.0,6.763666904183763,STOP,-1.0,1.27262235,31.54999999998836,1.32034066
1705450620000,1705450200000,Long,Asia,43111.9,43050.23224,43235.23552000001,-2.294157353733137,2.439418448172407,STOP,-1.0,0.63751189,65.21099999999569,1.31616742
1705452900000,1705452360000,Short,Asia,43096.2,43162.40232,42963.79535999999,1.6904441197202558,1.5595050742850685,STOP,-1.0,2.16540988,15.721999999994296,1.31823894
1705460100000,1705459560000,Short,Asia,43003.4,43097.05007999999,42816.09984000002,-0.15550699687944947,1.5408090432599073,TARGET,2.0,1.18096683,19.288000000000466,1.32888638
1705463100000,1705462500000,Long,Asia,42935.4,42867.378639999995,43071.442720000014,-4.342599050432628,2.335760668091413,STOP,-1.0,0.68607015,20.58400000000256,1.33029348
1705466040000,1705465800000,Long,Asia,42839.8,42752.7704,43013.859200000006,-9.61310730138359,7.637341092634479,TIMEOUT,0.0,0.64653699,26.410999999992782,1.34161953
1705468980000,1705468920000,Short,Asia,42885.7,42967.346399999995,42722.4072,-3.221046854609681,3.678713550616047,TARGET,2.0,1.73482621,40.14299999999639,1.34753295
1705471200000,1705470600000,Long,Asia,42804.9,42750.672080000004,42913.35584,-5.629185707489836,2.173760572017317,STOP,-1.0,0.82853666,25.622999999992317,1.34598781
1705474860000,1705474680000,Long,Asia,42835.9,42757.46664,42992.76672000001,-7.700997375720621,1.5440079452240356,STOP,-1.0,1.00105939,36.90700000000652,1.33715927
1705475400000,1705474980000,Long,Asia,42809.2,42736.2836,42955.032799999986,-7.8920686849238715,4.154584119707951,STOP,-1.0,0.45220949,27.82600000000093,1.33669618
1705477080000,1705477020000,Long,Asia,42805.1,42666.73928,43081.82143999999,-6.779693101134684,8.023235860637637,STOP,-1.0,1.24964699,-13.75899999999092,1.3322282
1705479120000,1705478700000,Long,London,42680.7,42553.23016,42935.63967999999,-9.052471348267627,2.551522455671846,TIMEOUT,0.0,1.12254304,156.77599999999802,1.35163114
1705491960000,1705491420000,Short,London,42697.3,42839.64432,42412.61136000001,-2.3893134904801645,2.332916307583829,TARGET,2.0,0.9047312,46.99299999998766,1.3453236
1705493040000,1705492800000,Long,London,42679.6,42625.871999999996,42787.056000000004,-7.365211160925398,1.6281742076959076,STOP,-1.0,1.04787438,115.06600000000617,1.34330516
1705493280000,1705493220000,Short,London,42646.8,42744.168,42452.06400000001,-6.420470046837443,2.39317837595888,TARGET,2.0,1.00779277,37.770000000004075,1.34224955
1705508580000,1705508280000,Long,LondonNY,42507.4,42386.064,42750.07200000001,-10.0,1.5620054901087077,STOP,-1.0,1.42905546,17.262000000002445,1.34156129
1705509420000,1705509360000,Long,LondonNY,42365.7,42281.44776,42534.204479999986,-7.742216493827065,4.039295972441159,STOP,-1.0,1.46615827,47.929000000003725,1.34009898
1705509900000,1705509840000,Long,LondonNY,42340.5,42243.1784,42535.143200000006,-8.268300861192733,3.2870954736730904,STOP,-1.0,0.75598677,-164.0810000000056,1.34004585
1705511700000,1705511100000,Long,NewYork,42403.4,42166.24,42877.72000000001,-10.0,4.4118635270377915,TIMEOUT,0.0,0.64718905,136.70900000000256,1.33225225
