tid,ts,entry,side,risk,r,oos
41,1753970400000,177.85629999999998,short,0.33389197383814917,2.286929529385796,False
42,1754315100000,165.6188,short,0.2739837608561402,2.258206399558168,False
43,1754487000000,164.49,short,0.24673500000000104,2.2047111421117265,False
44,1754605500000,174.25220000000002,short,0.26137829999998985,2.023163460082749,False
45,1754613300000,175.3722,short,0.33834038271359645,2.2926677287606947,False
46,1754660400000,176.75220000000002,short,0.26512829999998644,-1.5000000000000258,False
47,1754720100000,179.9139,long,0.30208357522445795,-1.446682428529054,False
48,1754789400000,183.3432,short,0.2750148000000081,-1.4999999999999853,False
49,1754826000000,180.3297,short,0.2731425612257965,-1.4951526938644917,False
50,1755002400000,178.07510000000002,short,0.30090951196766014,-1.4438421508401962,False
51,1755022500000,189.06869999999998,short,0.43097244409116797,2.3245189894692757,False
52,1755092400000,200.7423,long,0.5276370381534434,2.3478178857932095,False
53,1755176700000,193.684,short,1.5468835999394628,-1.0939068718588036,False
54,1755449400000,192.8833,long,0.28932495000000813,2.0892878012648937,False
55,1755524400000,181.23699999999997,long,0.3290178518215896,-1.413131838431998,False
56,1755526800000,181.8783,short,0.37118906083574643,-1.3674912312686978,False
57,1755574800000,178.4043,long,0.36042151598698524,-1.3712409472380989,False
58,1755691200000,181.53719999999998,short,0.3115925724537192,2.2669556773187027,False
59,1755699300000,178.9332,short,0.45802482464668515,0.08452251475639971,False
60,1756002300000,211.7608,short,0.49301090424395966,2.3281897636120044,False
61,1756065000000,203.30790000000002,long,0.8456983210208477,-1.1803017946351595,False
62,1756082400000,202.6512,long,0.5346226345207015,2.3483781367156813,False
63,1756215000000,190.66750000000002,short,0.5609459639526051,2.364038597474501,False
64,1756268100000,204.5335,long,0.5367374462938415,0.20306620723518762,False
65,1756305900000,207.8478,short,0.549695829205433,2.348754319056485,False
66,1756321500000,206.5304,long,0.5337558171681849,-1.2902034882201427,False
67,1756450800000,211.1468,long,0.5040583599745219,-1.3141701687241225,False
68,1756475100000,207.7115,long,0.7184196694676359,2.3843508835697915,False
69,1756685100000,200.72660000000002,short,0.36203820210033655,1.7554973727587326,False
70,1756722600000,198.95589999999999,long,0.33862689278552693,-1.440652907902705,False
71,1756760400000,196.6309,long,0.37297816734448475,-1.3953935857693058,False
72,1756782000000,202.2088,short,0.37412734063275366,-1.4053609119919073,False
73,1756821600000,204.5301,short,0.5735375123022095,2.3573553808684595,False
74,1756998300000,204.3835,long,0.36735380853212973,-1.4172751757018822,False
75,1757262900000,203.88620000000003,long,0.3058292999999992,-1.5000000000000013,False
76,1757285700000,207.3105,short,0.31096575000000826,-1.4999999999999867,False
77,1757295300000,206.90949999999998,short,0.3103642499999921,-1.5000000000000127,False
78,1757319900000,208.40800000000002,long,0.31261200000000144,1.7854541647688114,False
79,1757638500000,232.8039,long,0.5028493169984074,-1.347227129674222,False
80,1757711700000,239.7931,short,0.36728768245620813,0.0697517742187111,False
81,1757809800000,242.6409,long,0.36396135000001095,-1.499999999999985,False
82,1757858100000,243.2973,long,0.37387458649118344,1.9695757340044329,False
83,1757860200000,243.3777,short,0.4054766802108247,2.203196420072904,False
84,1757921700000,236.4348,long,0.4309118581207372,2.2805260676453667,False
85,1758031800000,231.3284,long,0.3895887470675632,2.2624896491583244,False
86,1758184500000,247.0149,short,0.37052234999998745,1.8209120053065513,False
87,1758215400000,253.05919999999998,short,0.5261005944225872,2.307596339800573,False
88,1758293400000,240.69420000000002,short,0.3610413000000108,1.9751956672981368,False
89,1758450300000,238.75119999999998,short,0.35812680000000796,-1.499999999999989,False
90,1758467700000,238.0415,long,0.3570622500000127,-1.4999999999999822,False
91,1758474000000,237.1743,short,0.3557614499999886,1.2834141490111204,False
92,1758501300000,232.5947,long,0.3960125497156639,-1.4405063049775868,False
93,1759025100000,201.5075,short,0.3022612499999866,-1.5000000000000222,False
94,1759050600000,201.1703,long,0.3017554500000017,-1.4999999999999971,False
95,1759154100000,208.32750000000001,long,0.415802562309068,1.8672857583527969,False
96,1759266900000,210.7751,short,0.36456479222295,2.268737843591764,False
97,1759273200000,207.6268,long,0.3519692877360683,2.264039866846953,False
98,1759410900000,224.7563,long,0.33713445000000775,2.1410825794802713,False
99,1759460700000,234.6106,short,0.3519158999999945,2.0818542714445134,False
100,1759521900000,230.78230000000002,long,0.5334588650653984,2.3269540051815074,False
101,1759633500000,231.9753,short,0.38935212108580686,2.2616807127152225,False
102,1759675800000,229.3671,long,0.344050650000014,2.1038620088331377,False
103,1759736400000,231.03289999999998,long,0.34654935000000364,-1.4999999999999947,False
104,1759757700000,234.591,short,0.3518865000000062,-1.4999999999999911,False
105,1759849500000,221.817,long,0.6224599659370824,2.357457820815149,False
106,1759931100000,219.0159,long,0.3671342789422454,2.261377879906998,False
107,1760280900000,188.2188,short,0.7600639432568812,2.400945807694313,False
108,1760304600000,192.93300000000002,long,0.6321576272601703,2.377920954091007,False
109,1760356800000,191.4185,long,0.561754542983806,2.363699544656451,False
110,1760535000000,202.9075,short,0.4790306628839289,-1.3176845174875038,False
111,1760625600000,196.13830000000002,short,0.6684913062167084,2.3826382343788226,False
112,1760688900000,176.3835,long,0.653156464289026,-1.202535888769007,False
113,1760863500000,184.25029999999998,short,0.3409279677224788,0.1198378583397901,False
114,1761066000000,193.9082,short,0.6355934206105189,-1.2288116039028631,False
115,1761086400000,188.6162,short,0.4525212348001162,-1.3126088658855655,False
116,1761142800000,182.6918,long,0.5012617543828526,-1.2733479041677456,False
117,1761150600000,182.478,long,0.5537614297603,2.3681901698505894,False
118,1761166800000,178.26299999999998,long,0.44680013623096215,2.340409180262366,False
119,1761471600000,196.0659,short,0.2940988500000117,1.6038173258924515,False
120,1761517500000,198.4961,long,0.35837785372734743,2.278450484107185,False
121,1761564000000,198.9994,long,0.2984990999999866,2.187050799469058,False
122,1761591600000,200.4096,long,0.32367620199056546,2.252333228371431,False
123,1761628500000,200.1746,long,0.3002619000000095,-1.4999999999999842,False
124,1761662400000,198.73489999999998,long,0.455801539556262,-1.327008932758556,False
125,1761679200000,197.22359999999998,long,0.34572701349759427,-1.4278453641894235,False
126,1761736800000,198.9187,short,0.33263434107954026,2.2607959546757272,False
127,1761751800000,198.0923,long,0.4387206372944661,-1.3386419793611883,False
128,1761789300000,195.62939999999998,short,0.3619204583641533,-1.4053986079238792,False
129,1761797400000,193.9876,long,0.361553429409156,-1.4024044253646224,False
130,1762141800000,177.04930000000002,long,0.4691589536011236,-1.283031953202144,False
131,1762510500000,154.1209,long,0.305418723637473,2.2981513403441833,False
132,1762697100000,160.15949999999998,short,0.2631273180889764,-1.4565076171961042,False
133,1762700100000,160.0299,long,0.3990136506155011,2.339574511044312,False
134,1762828500000,170.69029999999998,short,0.45491155989489584,-1.2814123365640073,False
135,1762959000000,157.84140000000002,long,0.3767317873998479,2.332409788311876,False
136,1762974300000,151.64350000000002,long,0.34393675287483916,-1.330678893864501,False
137,1762996200000,154.0351,short,0.3113085590907474,2.30208048188606,False
138,1763003700000,150.3876,long,0.33724640874521583,2.3216288196401638,False
139,1763046000000,153.961,long,0.4846682814274743,2.372934948788884,False
140,1763086500000,145.2706,short,0.3575577719099954,2.3374857307964967,False
141,1763095500000,140.6975,long,0.5117881982019128,2.3900345881406766,False
142,1763315700000,134.6203,long,0.36868209597861323,2.353944304355035,False
143,1763333400000,137.275,long,0.34100133623408624,-1.3019233036943993,False
144,1763433000000,134.3776,short,0.41807490825723903,2.3714320354118414,False
145,1763476200000,138.0,long,0.33390368494971767,1.863350523612379,False
146,1763718600000,125.45439999999999,long,0.4143073731936511,-1.2271038511207502,False
147,1764088200000,136.73110000000003,short,0.3358188260546342,2.3371370639264986,False
148,1764167400000,136.0568,long,0.242529873269973,2.2756040554252914,False
149,1764328500000,140.09,long,0.21013500000000818,2.2010620586665324,False
150,1764339900000,143.29770000000002,short,0.25105778597591666,2.2716896937604463,False
151,1764437400000,136.4239,long,0.2046358499999883,1.6243016430134385,False
152,1764594000000,127.54560000000001,short,0.24284746511267485,2.2899165223885336,False
153,1764647700000,127.5455,short,0.20270546997248573,-1.4719119075226945,False
154,1764737100000,142.2055,short,0.23213316195204925,-1.4594523423673138,False
155,1764795300000,141.141,long,0.21171150000000694,2.197663500461203,False
156,1764858900000,143.2342,short,0.2235267256932616,2.2436830883541763,False
157,1764947100000,137.12109999999998,short,0.34354480590860703,2.340345599593809,False
158,1765067700000,132.504,short,0.19875600000000304,-1.4999999999999925,False
159,1765113600000,131.5246,long,0.1972868999999946,1.468793330229171,False
160,1765177800000,134.9343,long,0.20240144999999643,1.643729586567074,False
161,1765204200000,138.8976,short,0.2547464518997913,2.2819045580982023,False
162,1765464900000,130.3306,long,0.26601314841508383,2.3040238224666494,False
163,1765552200000,137.5935,short,0.26154774254041513,2.2895703496982183,False
164,1765756800000,130.02249999999998,short,0.25346142569529206,2.2948050680400627,False
165,1765808100000,135.205,short,0.2613051800330197,2.2930312747984876,False
166,1765885800000,128.89550000000003,short,0.21097787876456664,2.2556227207234896,False
167,1765979700000,129.3363,short,0.19400444999999422,-1.5000000000000149,False
168,1766064600000,125.352,short,0.2124275117268013,2.2639627767965753,False
169,1766066700000,127.59960000000001,short,0.28850859815699437,2.3230907490243107,False
170,1766154300000,125.2228,long,0.19092874499669676,2.2376554274168643,False
171,1766157300000,125.83149999999999,long,0.3544774935830475,-1.2662330520509901,False
172,1766283000000,124.99199999999999,long,0.18748800000000188,-1.499999999999995,False
173,1766320800000,125.143,long,0.18771449999999845,1.265662838612536,False
174,1766414700000,127.781,short,0.23342988701537593,-1.4105547546860928,False
175,1766473800000,123.8571,long,0.1857856499999997,-1.5000000000000009,False
176,1766545200000,121.7666,long,0.18264990000000125,1.8613384414182872,False
177,1766677800000,123.7765,short,0.18566475000000082,1.7890606124506434,False
178,1766873100000,124.30869999999999,long,0.1864630500000004,0.9674720375239081,False
179,1766967900000,126.6045,short,0.1899067500000058,-1.499999999999985,False
180,1767018900000,123.7037,long,0.22707785199962416,-1.408572541016257,False
181,1767103800000,124.57979999999999,short,0.18686970000000258,-1.4999999999999931,False
182,1767191700000,126.241,short,0.18936150000000396,1.6030554991251158,False
183,1767193800000,125.1605,long,0.18774075000000323,1.9266258639280514,False
184,1767348300000,129.73950000000002,short,0.1946092500000134,2.0239305914750627,False
185,1767365100000,128.9789,short,0.2594451892902043,-1.372850139425007,False
186,1767370500000,130.3941,short,0.3045844985175563,-1.3210786349140584,False
187,1767479700000,133.83440000000002,short,0.2007515999999896,1.3281443597913904,False
188,1767709200000,142.6665,long,0.28268327828419615,-1.3785150492433,False
189,1767797100000,137.7615,short,0.2119438447415689,-1.487492925902063,False
190,1767841500000,138.096,short,0.22540396665220896,2.254935989723592,False
191,1767883500000,132.9441,long,0.23544681774691867,2.274141606546807,False
192,1767908100000,138.7971,short,0.2081956499999933,-1.500000000000016,False
193,1767921900000,139.5014,short,0.20925209999998629,1.9512649307872232,False
