symbol,side,kind,gestion,reason,result_r,mfe_r,mae_r,filled1,tp1,entry,stop,mfe,mae,tp1_touched,tp1_before_stop,tp2_touched,my_r,my_reason,my_f1,r_nopartial,reason_np,tp1_dist_R,db_filled1,mfe_err,mae_err
BTCUSDT,short,poc_ob,trail,trail,-1.0579,0.5684,1.0,False,59065.8,59499.81279,60346.7822867997,0.4300187803411986,0.9814842366118739,False,False,False,-1.052687682096128,trail,False,,,0.5124302488341458,False,0.1383812196588014,0.018515763388126105
ETHUSDT,short,poc_def_short,fade,stop,-1.1525,0.7176,1.0007,False,1550.91,1570.052133,1580.36420498993,0.28821879859860783,0.9898948542997277,False,False,False,-1.1141903490297482,stop,False,-1.1141903490297482,stop,1.856283879582355,False,0.4293812014013922,0.010805145700272245
ETHUSDT,short,poc_def_short,trail,trail,-1.1525,0.7176,1.0007,False,1550.91,1570.052133,1580.36420498993,0.28821879859860783,0.9898948542997277,False,False,False,-1.1141903490297482,trail,False,,,1.856283879582355,False,0.4293812014013922,0.010805145700272245
ETHUSDT,long,poc_def,trail,trail,-1.1579,0.3827,1.0008,False,1656.94464,1570.052133,1560.12596888624,0.037060338292232056,0.9995938900753583,False,False,False,-1.1186298237924206,trail,False,,,8.753885791546237,False,0.34563966170776794,0.0012061099246416518
ETHUSDT,long,poc_def,fade,stop,-1.1579,0.3827,1.0008,False,1656.94464,1570.052133,1560.12596888624,0.037060338292232056,0.9995938900753583,False,False,False,-1.1186298237924206,stop,False,-1.1186298237924206,stop,8.753885791546237,False,0.34563966170776794,0.0012061099246416518
SOLUSDT,short,poc_def_short,fade,stop,-1.1532,0.3333,1.0036,False,,66.027169,66.4588457580711,-0.0065581478434244295,0.9795083754088827,False,False,False,-1.1147163376858085,stop,False,-1.1147163376858085,stop,,False,0.33985814784342444,0.024091624591117355
SOLUSDT,short,poc_def_short,trail,trail,-1.1532,0.3333,1.0036,False,,66.027169,66.4588457580711,-0.0065581478434244295,0.9795083754088827,False,False,False,-1.1147163376858085,trail,False,,,,False,0.33985814784342444,0.024091624591117355
ETHUSDT,long,poc_ob,trail,trail,-1.0983,0.779,1.0003,False,1656.94464,1569.243078,1555.17363332029,0.5122392648796897,0.9903076004196123,False,False,False,-1.083651653302088,trail,False,,,6.233477155390337,False,0.2667607351203103,0.009992399580387668
ETHUSDT,long,poc_ob,fade,stop,-1.0983,0.779,1.0003,False,1656.94464,1569.243078,1555.17363332029,0.5122392648796897,0.9903076004196123,False,False,False,-1.083651653302088,stop,False,-1.083651653302088,stop,6.233477155390337,False,0.2667607351203103,0.009992399580387668
ETHUSDT,short,poc_def_short,trail,trail,-1.2193,0.3559,1.0006,False,1550.91,1560.990717,1568.11688137665,0.016939968490701427,0.9878081149889266,False,False,False,-1.1642879641657007,trail,False,,,1.4146062969064541,False,0.33896003150929854,0.012791885011073312
ETHUSDT,short,poc_def_short,fade,stop,-1.2193,0.3559,1.0006,False,1550.91,1560.990717,1568.11688137665,0.016939968490701427,0.9878081149889266,False,False,False,-1.1642879641657007,stop,False,-1.1642879641657007,stop,1.4146062969064541,False,0.33896003150929854,0.012791885011073312
ETHUSDT,short,poc_ob,fade,stop,-1.1073,0.2319,1.0001,False,1550.91,1562.932449,1575.47910487342,0.07352150320422078,0.9913040674327172,False,False,False,-1.0934272326089123,stop,False,-1.0934272326089123,stop,0.9582193949759276,False,0.1583784967957792,0.008795932567282838
ETHUSDT,short,poc_ob,trail,trail,-1.1073,0.2319,1.0001,False,1550.91,1562.932449,1575.47910487342,0.07352150320422078,0.9913040674327172,False,False,False,-1.0934272326089123,trail,False,,,0.9582193949759276,False,0.1583784967957792,0.008795932567282838
BTCUSDT,short,poc_def_short,fade,stop,-1.2708,2.1066,1.001,False,59065.8,59603.01622,59823.3414569044,1.329925813841884,0.9966347164091482,False,False,False,-1.2028921552204903,stop,False,-1.2028921552204903,stop,2.438287268167473,False,0.7766741861581159,0.004365283590851643
BTCUSDT,short,poc_ob,fade,stop,-1.1739,0.9272,1.0009,False,59065.8,59493.742,59804.8561960469,0.590593429469537,0.9831052516609994,False,False,False,-1.1434209916068026,stop,False,-1.1434209916068026,stop,1.3755142177294912,False,0.33660657053046306,0.01779474833900052
BTCUSDT,short,poc_def_short,trail,trail,-1.2708,2.1066,1.001,False,59065.8,59603.01622,59823.3414569044,1.329925813841884,0.9966347164091482,False,False,False,-1.2028921552204903,trail,False,,,2.438287268167473,False,0.7766741861581159,0.004365283590851643
BTCUSDT,short,poc_ob,trail,trail,-1.1739,0.9272,1.0009,False,59065.8,59493.742,59804.8561960469,0.590593429469537,0.9831052516609994,False,False,False,-1.1434209916068026,trail,False,,,1.3755142177294912,False,0.33660657053046306,0.01779474833900052
ETHUSDT,short,poc_ob,trail,trail,-1.1316,1.5577,1.0001,False,1550.91,1567.94859,1578.67923515694,1.1330716673765404,0.9851607098537779,False,False,False,-1.1095890717940153,trail,False,,,1.5878439507414193,False,0.42462833262345967,0.014939290146222084
ETHUSDT,short,poc_def_short,trail,trail,-1.181,2.8767,1.0,False,1550.91,1570.052133,1578.73997303371,1.9075089936851661,0.9746803540515914,False,False,False,-1.1355387639713652,trail,False,,,2.203324753416927,False,0.9691910063148339,0.02531964594840863
ETHUSDT,short,poc_ob,fade,stop,-1.1316,1.5577,1.0001,False,1550.91,1567.94859,1578.67923515694,1.1330716673765404,0.9851607098537779,False,False,False,-1.1095890717940153,stop,False,-1.1095890717940153,stop,1.5878439507414193,False,0.42462833262345967,0.014939290146222084
ETHUSDT,short,poc_def_short,fade,stop,-1.181,2.8767,1.0,False,1550.91,1570.052133,1578.73997303371,1.9075089936851661,0.9746803540515914,False,False,False,-1.1355387639713652,stop,False,-1.1355387639713652,stop,2.203324753416927,False,0.9691910063148339,0.02531964594840863
SOLUSDT,short,poc_ob,trail,trail,-1.0552,0.887,1.0096,False,,66.290926,67.3013285484149,0.683812606256699,0.9986851295882142,False,False,False,-1.0492063233391453,trail,False,,,,False,0.20318739374330097,0.010914870411785849
SOLUSDT,short,poc_ob,fade,stop,-1.0552,0.887,1.0096,False,,66.290926,67.3013285484149,0.683812606256699,0.9986851295882142,False,False,False,-1.0492063233391453,stop,False,-1.0492063233391453,stop,,False,0.20318739374330097,0.010914870411785849
ETHUSDT,long,poc_ob,fade,stop,-1.3013,0.3474,1.0017,False,1649.61,1571.993865,1566.72678825083,-0.04060411689152699,0.9993902216878492,False,False,False,-1.2238424566218433,stop,False,-1.2238424566218433,stop,14.736093415048742,False,0.388004116891527,0.0023097783121508453
ETHUSDT,long,poc_ob,fade,stop,-1.3013,0.3474,1.0017,False,1649.61,1571.993865,1566.72678825083,-0.04060411689152699,0.9993902216878492,False,False,False,-1.2238424566218433,stop,False,-1.2238424566218433,stop,14.736093415048742,False,0.388004116891527,0.0023097783121508453
ETHUSDT,long,poc_def,fade,stop,-1.2563,2.7638,1.0014,False,1649.61,1567.94859,1561.83642501508,1.8228254681423588,0.9748738809736245,False,False,False,-1.1923968749864187,stop,False,-1.1923968749864187,stop,13.360472140637103,False,0.940974531857641,0.026526119026375583
ETHUSDT,long,poc_def,trail,trail,-1.2563,2.7638,1.0014,False,1649.61,1567.94859,1561.83642501508,1.8228254681423588,0.9748738809736245,False,False,False,-1.1923968749864187,trail,False,,,13.360472140637103,False,0.940974531857641,0.026526119026375583
BTCUSDT,long,poc_def,fade,stop,-1.3957,0.3333,1.0007,False,61758.14667,59603.01622,59452.4756899063,-0.020035933167767986,0.7673429868228779,False,False,False,-1.2969450296021727,stop,False,-1.2969450296021727,stop,14.315948327394795,False,0.35333593316776796,0.23335701317712199
BTCUSDT,long,poc_def,fade,stop,-1.3957,0.3333,1.0007,False,61758.14667,59603.01622,59452.4756899063,-0.020035933167767986,0.7673429868228779,False,False,False,-1.2969450296021727,stop,False,-1.2969450296021727,stop,14.315948327394795,False,0.35333593316776796,0.23335701317712199
SOLUSDT,long,poc_ob,trail,trail,-0.2598,2.9909,0.674,False,69.428958,66.290926,65.3162615632455,2.5640352779481703,0.7088860267649634,False,False,False,-0.31871912299827254,trail,False,,,3.219602441276336,False,0.42686472205182957,0.03488602676496333
BTCUSDT,long,poc_ob,trail,trail,-2.0174,4.1776,1.0018,False,61333.4,59281.26435,59198.8774835071,1.744642758228903,0.9924439838605591,False,False,False,-1.5396606298448525,trail,False,,,24.90852896046187,False,2.432957241771097,0.009356016139440926
BTCUSDT,long,poc_ob,fade,stop,-2.0174,4.1776,1.0018,False,61333.4,59281.26435,59198.8774835071,1.744642758228903,0.9924439838605591,False,False,False,-1.5396606298448525,stop,False,-1.5396606298448525,stop,24.90852896046187,False,2.432957241771097,0.009356016139440926
ETHUSDT,long,poc_ob,trail,trail,-0.872,2.2067,0.8168,False,1656.94464,1549.987569,1526.6853294355,1.880181125025718,0.830287962083918,False,False,False,-0.885325190295405,trail,False,,,4.589991048025512,False,0.326518874974282,0.013487962083918004
ETHUSDT,short,poc_def_short,fade,target,6.5549,8.5369,0.3829,True,1550.91,1577.010006,1582.441714198,8.477997035436427,0.38293551939439685,True,True,False,6.554881208587289,target,True,8.420776729950482,target,4.805119319482224,True,0.05890296456357191,3.551939439683238e-05
ETHUSDT,long,poc_ob,trail,trail,-1.059,1.2009,1.0001,False,1656.94464,1561.152528,1539.2326353629,0.9907654366537544,0.9823281690511472,False,False,False,-1.053415608159425,trail,False,,,4.370099506685953,False,0.2101345633462457,0.017771830948852818
ETHUSDT,long,poc_ob,trail,trail,-1.3615,0.8149,1.0017,False,1638.3,1558.563552,1554.13535138707,0.3243863875104407,0.9786259428595631,False,False,False,-1.2639723820521591,trail,False,,,18.006512118528043,False,0.49051361248955927,0.023074057140436977
ETHUSDT,short,poc_ob,fade,target,3.5487,3.6016,0.4648,False,1550.91,1571.993865,1585.46648428811,3.0457228934104355,0.526707899054382,True,True,False,2.2705360256855407,target,True,3.0228025139803876,target,1.5649417941028634,False,0.5558771065895645,0.06190789905438199
ETHUSDT,long,poc_ob,fade,stop,-1.059,1.2009,1.0001,False,1656.94464,1561.152528,1539.2326353629,0.9907654366537544,0.9823281690511472,False,False,False,-1.053415608159425,stop,False,-1.053415608159425,stop,4.370099506685953,False,0.2101345633462457,0.017771830948852818
ETHUSDT,long,poc_ob,fade,stop,-1.3615,0.8149,1.0017,False,1638.3,1558.563552,1554.13535138707,0.3243863875104407,0.9786259428595631,False,False,False,-1.2639723820521591,stop,False,-1.2639723820521591,stop,18.006512118528043,False,0.49051361248955927,0.023074057140436977
ETHUSDT,short,poc_def_short,fade,target,6.5549,8.5369,0.3829,True,1550.91,1577.010006,1582.441714198,8.477997035436427,0.38293551939439685,True,True,False,6.554881208587289,target,True,8.420776729950482,target,4.805119319482224,True,0.05890296456357191,3.551939439683238e-05
ETHUSDT,long,poc_ob,fade,stop,-1.0555,2.2067,1.0003,False,1656.94464,1549.987569,1526.6853294355,1.880181125025718,0.9946498462452598,False,False,False,-1.049887508603294,stop,False,-1.049887508603294,stop,4.589991048025512,False,0.326518874974282,0.005650153754740206
BTCUSDT,long,poc_ob,fade,stop,-1.3734,2.9579,1.0007,False,60463.4,58686.32693,58521.7771524289,1.8333240825539205,0.9998611510058422,False,False,False,-1.2674858990829114,stop,False,-1.2674858990829114,stop,10.799607852597044,False,1.1245759174460794,0.0008388489941577593
BTCUSDT,long,poc_ob,trail,trail,-1.3734,2.9579,1.0007,False,60463.4,58686.32693,58521.7771524289,1.8333240825539205,0.9998611510058422,False,False,False,-1.2674858990829114,trail,False,,,10.799607852597044,False,1.1245759174460794,0.0008388489941577593
SOLUSDT,short,poc_ob,trail,trail,0.0195,3.5689,-0.1037,False,,68.001965,68.5993321949861,3.5689355188806138,0.09715130071940707,False,False,False,0.001612954742213471,trail,False,,,,False,3.5518880613594206e-05,0.20085130071940707
ETHUSDT,short,poc_ob,trail,trail,1.0716,4.6574,-1.1693,False,1550.91,1571.993865,1585.46648428811,4.539122177524143,0.526707899054382,True,True,True,1.3668366341726605,trail,False,,,1.5649417941028634,False,0.11827782247585716,1.6960078990543819
SOLUSDT,short,poc_ob,fade,stop,-1.0982,0.1493,2.2711,False,,68.001965,68.5993321949861,3.5689355188806138,2.3235875884217023,False,False,False,-1.0853770916415761,stop,False,-1.0853770916415761,stop,,False,3.4196355188806136,0.0524875884217022
SOLUSDT,short,poc_def_short,trail,trail,-1.1949,0.4457,1.0153,False,65.6,69.26,69.6159087997422,0.08429125669759165,0.9833979948051826,False,False,False,-1.1459503109718745,trail,False,,,10.283533317105821,False,0.36140874330240835,0.03190200519481745
SOLUSDT,short,poc_def_short,fade,stop,-1.1949,0.4457,1.0153,False,65.6,69.26,69.6159087997422,0.08429125669759165,0.9833979948051826,False,False,False,-1.1459503109718745,stop,False,-1.1459503109718745,stop,10.283533317105821,False,0.36140874330240835,0.03190200519481745
BTCUSDT,short,poc_ob,trail,trail,-1.0573,1.6362,1.0001,False,59065.8,59499.81279,60366.7307728018,1.396109913521911,0.9858916609824266,True,True,False,-1.051475295792431,trail,False,,,0.5006388131404466,False,0.24009008647808905,0.014208339017573346
BTCUSDT,short,poc_ob,fade,stop,-1.0573,0.1111,1.0001,False,59065.8,59499.81279,60366.7307728018,1.396109913521911,0.9858916609824266,True,True,False,0.21085501312935953,be,True,-1.051475295792431,stop,0.5006388131404466,False,1.285009913521911,0.014208339017573346
BTCUSDT,long,poc_ob,fade,stop,-1.1548,0.7087,1.0001,False,60731.3,60183.09645,59848.2222808745,0.4864619759278974,0.9946913817505146,False,False,False,-1.1347889043080663,stop,False,-1.1347889043080663,stop,1.6370434047857532,False,0.22223802407210258,0.005408618249485353
BTCUSDT,long,poc_ob,trail,trail,-1.1548,0.7087,1.0001,False,60731.3,60183.09645,59848.2222808745,0.4864619759278974,0.9946913817505146,False,False,False,-1.1347889043080663,trail,False,,,1.6370434047857532,False,0.22223802407210258,0.005408618249485353
ETHUSDT,long,poc_ob,trail,trail,8.837,24.9514,-9.2698,False,1636.67,1520.052534,1517.43354057371,24.951366942745633,3.5175857669296575,False,False,False,-1.4352967781652493,trail,False,,,44.527590191472136,False,3.3057254366752886e-05,12.787385766929658
BTCUSDT,long,poc_def,fade,stop,-1.3995,0.3439,1.0011,False,60731.3,59602.51362,59453.4235694251,0.00795747265108857,0.9894263194034433,False,False,False,-1.2998314444366104,stop,False,-1.2998314444366104,stop,7.571171755910792,False,0.3359425273489114,0.011673680596556824
BTCUSDT,long,poc_def,fade,stop,-1.3995,0.3439,1.0011,False,60731.3,59602.51362,59453.4235694251,0.00795747265108857,0.9894263194034433,False,False,False,-1.2998314444366104,stop,False,-1.2998314444366104,stop,7.571171755910792,False,0.3359425273489114,0.011673680596556824
