bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1754037000000,long,114360.0,371.03414458567727,1.5756849714353094,False,H5,chop,-14.077,2.0732,1.78,1.0,9.773,0.4455,0.0,0.1629,0.1265,-0.952,1.1425,-0.3156,9.0,-5.43,0.1046,0.0,-0.1199,-0.7051,-37.622,2.4837,2.0465,14.0,-5.43,0.0937,0.0,-0.1539,-2.4034
1754056800000,long,114270.0,469.4742027708988,-1.316515709748205,False,H5,trend,2.967,0.7561,0.7483,1.0,1.381,0.1625,0.0,0.1539,0.2714,4.862,0.6155,0.0807,14.0,-26.517,0.0595,0.0,0.0499,0.5556,4.862,0.6155,-0.3077,14.0,-26.517,0.0448,0.0,-0.0215,-0.5046
1754405100000,long,112730.0,379.3463473949501,10.635916200952071,False,H5,chop,7.462,0.4073,-0.0136,10.0,-9.984,0.1109,0.0,-0.1598,-0.7637,-0.992,1.0627,0.2757,2.0,-1.499,0.1402,0.0,0.1491,0.8971,6.47,0.7723,0.4912,6.0,-1.499,0.0446,0.0,-0.0828,-2.6239
1754496000000,short,115400.0,363.15953441646946,-1.4475415072753919,False,H5,chop,19.989,4.0136,1.1132,12.0,-0.02,0.1529,0.0,0.4154,1.1074,1.067,1.2227,-0.4914,3.0,0.533,0.1213,0.0,-0.3859,-1.297,1.067,1.2227,-0.7316,2.0,0.533,0.1113,0.0,-0.1956,-1.6497
1754596800000,short,117400.0,303.4253864115848,4.902867688813021,False,H5,chop,10.932,3.1227,0.6132,2.0,3.001,0.2715,0.0,-0.007,-0.0159,0.793,1.0965,-0.0194,2.0,0.824,0.1521,0.0,-0.2307,-0.6227,5.101,1.2642,0.4725,2.0,0.824,0.1312,0.0,-0.145,-1.2244
1754667900000,long,115880.0,267.73079231532665,6.407191347370603,False,H5,chop,-24.725,1.9298,2.4092,4.0,9.208,0.2603,0.0,-0.1649,-0.5913,8.811,0.4704,0.7525,2.0,3.143,0.1594,0.0,0.3434,1.2799,-15.914,1.3681,3.1154,3.0,3.143,0.0807,0.0,-0.0131,-0.213
1754886600000,short,121710.0,391.6574334025061,-1.3050739292832771,False,H5,chop,-8.742,0.2,1.0594,1.0,-0.032,0.3632,1.0,-0.4441,-0.1803,-12.244,0.1724,0.1454,6.0,-0.837,0.2097,0.0,0.0081,0.0159,-9.561,0.7663,1.2373,6.0,-3.217,0.0703,0.0,0.0569,0.7175
1754922600000,long,119870.0,416.4803484359126,1.3756027547756662,False,H5,chop,0.637,0.7817,-0.0012,2.0,1.326,0.2996,0.0,-0.0097,-0.0035,0.616,0.7774,-0.6656,4.0,2.584,0.0946,0.0,0.0777,0.383,-6.578,1.8054,-0.2943,3.0,0.9,0.0666,0.0,0.0685,0.7736
1755064800000,long,119050.0,281.5055579542959,8.870802383724435,False,H5,chop,3.698,0.7555,1.2462,3.0,-2.505,0.3227,0.0,-0.0531,-0.0616,1.259,0.5249,-0.3681,2.0,-0.827,0.2838,0.0,-0.0156,-0.0293,1.259,0.5249,-0.7425,5.0,-0.827,0.1375,0.0,-0.048,-0.2716
1755102600000,short,121560.0,482.1250418428906,-1.2925572994994539,False,H5,chop,-27.995,0.2524,1.4432,1.0,4.109,0.2404,0.0,-0.5282,-0.8606,-4.442,0.3863,-0.0338,4.0,-4.916,0.1499,0.0,-0.2773,-0.4692,-28.672,0.364,1.0548,10.0,-13.437,0.1192,0.0,-0.0507,-0.4896
