bar_ts,side,lvl,atr,r,oos,kind,regime,delta_at_fill,delta_norm,fill_found,ticks_until_fill,fill_frac
1760236200000,short,110420.0,460.35420357374153,1.3129504298921513,False,H5,chop,2.223,0.0048,True,96,0.003
1760280300000,long,111330.0,447.221903544083,8.566608404153506,False,H5,trend,-5.59,-0.0125,True,886,0.003
1760372100000,short,114880.0,587.8444276972767,-1.2066379779053042,False,H5,chop,8.191,0.0139,True,278,0.006
1760453100000,short,111780.0,568.5336756338472,1.1908472934181042,False,H5,chop,7.152,0.0126,True,425,0.011
1760461200000,long,112280.0,671.3978759582078,-1.2757823692265313,False,H5,trend,-1.791,-0.0027,True,168,0.002
1760541300000,long,110690.0,528.9574812553091,-1.4999999999999893,False,H5,chop,-14.123,-0.0267,True,2616,0.036
1760562900000,long,110680.0,492.4929493171847,0.6283313620786787,False,H5,chop,3.629,0.0074,True,2105,0.131
1760625900000,short,111320.0,562.796744067282,28.43642322143125,False,H5,trend,2.076,0.0037,True,142,0.002
1760633100000,long,107980.0,737.6908786490942,-1.121942824123205,False,H5,trend,1.887,0.0026,True,369,0.005
1760691600000,long,104830.0,521.32492944744,-1.2807633253508095,False,H5,chop,-6.962,-0.0134,True,223,0.005
1760708700000,long,105150.0,689.7498494443265,-1.3729826262543958,False,H5,chop,-40.005,-0.058,True,10716,0.135
1760940900000,short,111150.0,387.4414844483048,-1.4012435073820235,False,H5,chop,19.443,0.0502,True,1782,0.078
1760978700000,long,110430.0,421.33688284246773,-1.36657793467276,False,H5,chop,-6.059,-0.0144,True,206,0.004
1761050700000,short,109280.0,405.0358959576837,2.292667154709648,False,H5,chop,-42.792,-0.1056,True,2642,0.071
1761067800000,long,112300.0,727.7782072718522,-1.1124432449252617,False,H5,chop,23.403,0.0322,True,3675,0.094
1761172200000,long,106960.0,491.70779228288313,7.687833309465034,False,H5,chop,-3.329,-0.0068,True,9632,0.687
1761253200000,long,109420.0,416.54019420285914,2.7584700940770337,False,H5,chop,-4.884,-0.0117,True,189,0.008
1761517800000,long,114330.0,385.98652064782715,3.9450246422098765,False,H5,chop,-41.619,-0.1078,True,6318,0.287
1761572700000,long,114800.0,309.3604874255542,-1.2345153658626287,False,H5,chop,14.843,0.048,True,3077,0.074
1761677100000,long,114700.0,384.61321141265876,-1.4093440304390736,False,H5,chop,-2.62,-0.0068,True,153,0.012
1761748200000,long,112220.0,322.9825534564855,-1.499999999999995,False,H5,chop,-51.444,-0.1593,True,811,0.034
1761762600000,short,111380.0,578.9433850810076,-1.2983010964938468,False,H5,trend,16.028,0.0277,True,1058,0.002
1761800400000,long,108460.0,589.0833662251185,2.2073737635128734,False,H5,chop,-17.068,-0.029,True,5273,0.111
1761809400000,short,111260.0,520.6998210989618,4.511443084941503,False,H5,chop,-13.605,-0.0261,True,4643,0.299
1761939900000,short,109920.0,497.2698925952585,-1.2122458583844766,False,H5,chop,29.594,0.0595,True,1548,0.051
1762140600000,long,108050.0,393.3515488411976,-1.3136880187226645,False,H5,chop,-4.469,-0.0114,True,737,0.023
1762185600000,long,105690.0,586.9723061517071,-1.3087425026952615,False,H5,trend,0.895,0.0015,True,1359,0.011
1762247700000,long,103780.0,490.3543653727585,1.105923169909638,False,H5,chop,-14.763,-0.0301,True,1558,0.049
1762281000000,long,100600.0,648.5361494705107,-1.1412302375411545,False,H5,trend,0.44,0.0007,True,733,0.006
1762317000000,long,101530.0,627.8221126936152,1.4472153124769274,False,H5,chop,-12.664,-0.0202,True,299,0.01
1762453800000,long,101290.0,596.6996727853602,0.3613991056589835,False,H5,chop,-2.963,-0.005,True,131,0.003
1762475400000,long,100860.0,462.52398047868417,0.811185924189829,False,H5,chop,2.605,0.0056,True,219,0.008
1762520400000,long,99580.0,429.8758454556317,5.504596403833903,False,H5,trend,1.786,0.0042,True,619,0.013
1762797600000,short,105920.0,395.4424509313044,-1.4999999999999853,False,H5,chop,7.682,0.0194,True,290,0.015
1762883100000,long,102950.0,398.0399988234962,-1.3144983914810107,False,H5,chop,88.038,0.2212,True,2441,0.088
1762894800000,long,102650.0,368.90302474308464,-1.4999999999999811,False,H5,chop,-69.242,-0.1877,True,10254,0.387
1762975800000,long,100980.0,460.17063462304884,0.6556017353093487,False,H5,chop,53.669,0.1166,True,5959,0.165
1762996500000,short,102400.0,391.34117238477404,1.0956861233424604,False,H5,chop,35.012,0.0895,True,11255,0.322
1763005500000,short,102440.0,461.454765020461,1.503397606596292,False,H5,chop,19.202,0.0416,True,8803,0.381
1763082900000,long,98870.0,583.5869253105285,0.51238118825744,False,H5,chop,-5.896,-0.0101,True,306,0.011
1763091900000,long,98840.0,480.1345079567729,-1.448909173446822,False,H5,chop,-6.233,-0.013,True,420,0.027
1763172000000,short,95620.0,525.2467144998509,-1.2317036963471062,False,H5,chop,11.645,0.0222,True,123,0.009
1763315100000,long,93900.0,403.45617544801564,0.9689344387033771,False,H5,chop,32.144,0.0797,True,28360,0.468
1763323200000,long,93960.0,480.7701211951559,1.0116808486439925,False,H5,chop,10.827,0.0225,True,1590,0.077
1763340300000,long,94670.0,566.2885650263966,-1.2575613904123408,False,H5,trend,-4.417,-0.0078,True,325,0.005
1763390700000,short,95100.0,546.4387896660721,3.32451754904353,False,H5,trend,188.045,0.3441,True,3839,0.043
1763426700000,long,91300.0,482.8113556986842,-1.408068185489624,False,H5,chop,-87.548,-0.1813,True,3644,0.06
1763432100000,long,91120.0,508.14615515333446,-1.3334690846447126,False,H5,chop,0.7,0.0014,True,705,0.008
1763571600000,short,89880.0,519.7844972776829,-1.3848786278425538,False,H5,trend,23.572,0.0453,True,1365,0.024
1763581500000,long,88680.0,497.41651197824626,1.4235028515871955,False,H5,chop,17.562,0.0353,True,3103,0.093
1763660700000,long,86700.0,727.8405342170291,-1.1078608393237679,False,H5,trend,-4.995,-0.0069,True,668,0.009
1763666100000,long,86300.0,706.5341398890404,-1.1517821528839407,False,H5,trend,-44.109,-0.0624,True,8899,0.118
1763696700000,short,86030.0,567.5698548705766,1.186719816978305,False,H5,chop,3.885,0.0068,True,217,0.008
1763735400000,long,83600.0,801.2371568028915,-1.209482305635865,False,H5,trend,0.008,0.0,True,338,0.002
1763948700000,long,86480.0,443.90690760771633,-1.225900670572461,False,H5,trend,-4.634,-0.0104,True,111,0.003
1763954100000,long,87230.0,470.2453554247027,-1.3171825624850588,False,H5,chop,-7.3,-0.0155,True,1168,0.042
1764099000000,long,86180.0,435.1516952985735,14.502076970940063,False,H5,chop,-34.437,-0.0791,True,2189,0.061
1764104400000,short,87350.0,402.57760717691207,1.0091965841031498,False,H5,chop,-41.208,-0.1024,True,2177,0.115
1764171000000,short,87260.0,347.3339617475628,1.5415654366261593,False,H5,chop,4.801,0.0138,True,257,0.009
1764211500000,short,91750.0,371.84249491248374,2.634287011807469,False,H5,chop,14.343,0.0386,True,862,0.014
1764554400000,long,87100.0,446.6470293268668,-1.5000000000000222,False,H5,chop,-27.23,-0.061,True,2092,0.067
1764563400000,long,85680.0,405.43989981615624,2.415841892312404,False,H5,chop,-74.241,-0.1831,True,1593,0.048
1764646200000,long,86300.0,389.149466843947,23.909771664008343,False,H5,trend,4.705,0.0121,True,1011,0.026
1764673200000,short,87240.0,296.46111108127394,-1.1575809068282683,False,H5,chop,2.187,0.0074,True,642,0.026
1764754200000,long,92870.0,303.3567019607783,-1.3702179507192973,False,H5,chop,-2.077,-0.0068,True,298,0.021
1764808200000,long,92780.0,400.41739023202996,1.8551545410841757,False,H5,chop,-4.288,-0.0107,True,610,0.031
1764813600000,long,93130.0,420.50342346838875,-1.499999999999975,False,H5,trend,-5.12,-0.0122,True,1004,0.043
1765129500000,short,90830.0,434.498042031248,-1.127064699831528,False,H5,chop,30.567,0.0704,True,7590,0.222
1765145700000,long,89340.0,442.21463936686496,2.219743215022322,False,H5,chop,11.56,0.0261,True,830,0.022
1765213200000,long,89900.0,460.6785948570096,0.6988537789046322,False,H5,chop,-6.907,-0.015,True,827,0.024
1765231200000,short,91260.0,389.3239799443455,1.1394021388524014,False,H5,chop,2.812,0.0072,True,109,0.008
1765313100000,long,92940.0,439.19773548288,-1.255330199816493,False,H5,chop,5.754,0.0131,True,940,0.039
1765422900000,long,89540.0,463.09187326074294,0.8439940951530324,False,H5,chop,1.122,0.0024,True,894,0.025
1765483200000,long,90790.0,481.7897223903858,1.4770906463911968,False,H5,chop,-5.988,-0.0124,True,95,0.003
1765723500000,long,88890.0,259.8269831739955,-1.499999999999976,False,H5,chop,36.229,0.1394,True,9021,0.44
1765767600000,long,89270.0,348.6278863173192,1.0698131799614277,False,H5,chop,-1.067,-0.0031,True,118,0.008
1765812600000,long,86650.0,428.4549452910285,-1.4195076662833703,False,H5,chop,78.431,0.1831,True,63350,0.699
1765901700000,long,87700.0,471.625802314992,-1.27078325768329,False,H5,chop,-9.873,-0.0209,True,214,0.004
1765908000000,long,87070.0,442.99402632798336,1.3279334634968447,False,H5,chop,-41.296,-0.0932,True,2122,0.051
1765949400000,long,86310.0,258.5293129751527,0.9377889242968297,False,H5,chop,-200.382,-0.7751,True,2485,0.071
1765980000000,short,87650.0,293.2356702772817,-1.2359490161819537,False,H5,chop,8.389,0.0286,True,493,0.012
1766070900000,long,87980.0,555.7248631176659,-1.4272776048998357,False,H5,trend,-7.171,-0.0129,True,8228,0.125
1766083500000,short,86460.0,642.4835151180016,3.5014733649689647,False,H5,chop,5.745,0.0089,True,1993,0.025
1766122200000,long,86700.0,411.2386781106512,8.173375624759492,False,H5,chop,-40.911,-0.0995,True,3625,0.207
1766157300000,short,88770.0,477.1780738746302,4.601949932504016,False,H5,trend,23.369,0.049,True,3394,0.018
1766367900000,short,89090.0,347.7001845036183,-0.844918791538867,False,H5,trend,-1.101,-0.0032,True,2402,0.087
1766418300000,long,89360.0,413.0721159122533,-1.2167052320974068,False,H5,chop,-1.271,-0.0031,True,722,0.016
1766602800000,short,87430.0,240.43691709577018,-1.4999999999999845,False,H5,chop,-16.708,-0.0695,True,1285,0.183
1766717100000,short,89200.0,325.0212729812169,-1.23378911987459,False,H5,chop,-1.742,-0.0054,True,637,0.016
1767002400000,long,88030.0,309.9723407369062,-1.1683847598816461,False,H5,chop,-0.43,-0.0014,True,533,0.012
1767010500000,long,86820.0,306.9336710114468,2.8520962911772263,False,H5,chop,-7.723,-0.0252,True,1027,0.015
1767367800000,long,89050.0,401.5259115496563,0.5616668821420856,False,H5,trend,-2.407,-0.006,True,413,0.006
