bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1755217800000,long,4538.7966,31.780540385077373,0.5606685862785131,False,H5,trend,8.89,0.0022,-1.322,3,8.89,0.7416,0.0,-0.4329,-33.4264,-30.48,1.0724,0.7429,3,-184.02,0.206,1.0,0.2337,164.1844,-747.45,2.3665,0.0259,3,-184.02,0.1435,0.0,0.1369,452.7421
1755528300000,long,4284.258100000001,33.660473812761914,-1.500000000000019,False,H5,trend,-38.62,1.6835,-1.0974,2,-38.62,0.4303,0.0,-0.1704,-32.8905,-73.86,1.3684,-0.6357,1,-22.67,0.1476,0.0,0.2623,347.1374,380.84,0.7363,-0.2909,3,-160.22,0.1234,0.0,0.0555,313.4258
1755552600000,short,4351.5675,26.007968549567746,0.7095802795120709,False,H5,chop,-253.49,0.2556,0.5602,3,-31.42,0.5655,0.0,-0.1489,-15.4134,12.15,1.6425,-1.2334,1,10.99,0.2352,0.0,-0.3368,-175.605,138.62,1.1452,0.8967,3,42.03,0.1622,0.0,0.0064,12.7892
1755641700000,long,4125.300499999999,26.490102514921155,-1.318867072332469,False,H5,chop,66.31,0.1698,-0.6411,2,66.31,0.5106,0.0,-0.1684,-19.0196,607.9,0.3437,1.7469,3,-375.23,0.2262,0.0,0.039,26.6031,446.39,0.5769,0.1731,3,-375.23,0.1978,0.0,-0.0964,-198.8026
1756056600000,long,4853.4249,27.634767234940714,-1.0332611295189809,False,H5,trend,87.39,0.4902,-0.5807,6,-5.32,0.4287,0.0,-0.4755,-124.4816,-581.94,4.9448,-0.4777,6,-246.47,0.0982,0.0,0.141,603.0063,-471.01,1.2511,1.1323,1,-7.64,0.067,0.0,0.1317,1289.5567
1756080000000,long,4778.098,37.66636000852037,-1.2227954520149753,False,H5,chop,126.33,0.4703,0.7038,1,-17.42,0.653,0.0,-0.0131,-0.7038,93.99,0.612,-0.305,3,-3.21,0.2986,0.0,0.154,55.4999,277.0,0.6543,-0.0148,8,-48.72,0.0798,0.0,-0.1383,-644.8951
1756158300000,short,4372.7039,40.145071058624225,-1.1537348296813836,False,H5,chop,-7.74,0.0227,-0.9567,1,7.74,0.4892,0.0,-0.2292,-37.9142,-47.92,0.8338,-0.5038,2,-460.14,0.1969,0.0,0.0082,6.5002,468.05,1.4068,-0.2262,1,-497.69,0.1157,0.0,0.0693,273.0178
1756325700000,long,4545.318,34.269939992978244,-1.0905309943600219,False,H5,trend,-102.49,2.0016,-0.5165,2,-20.83,0.3918,0.0,0.4262,147.9054,-552.81,1.8161,0.1764,6,-293.42,0.0809,0.0,0.0512,272.5196,-852.01,1.746,0.2318,6,-293.42,0.0681,0.0,0.0218,188.7727
1756689300000,long,4386.98,20.890960253389892,0.8223778416158852,False,H5,chop,-292.73,3.23,1.2378,5,-2.94,0.433,1.0,-0.2242,-43.1507,6.36,0.7946,-1.0687,2,-71.33,0.2635,0.0,0.0805,46.8935,-368.34,2.8868,-0.9757,7,-2.94,0.1156,0.0,0.0838,315.4144
1756822500000,long,4336.475,31.05029468252968,-1.4999999999999927,False,H5,chop,123.5,0.292,-1.1134,3,123.5,0.2798,0.0,0.0513,17.7444,-89.56,2.2486,-1.0968,5,-14.71,0.1619,0.0,0.0031,3.6251,-120.03,1.3021,-0.7675,6,-14.71,0.1132,0.0,-0.0786,-406.9549
1756839600000,short,4303.2817000000005,30.397405524439257,0.42217697604460824,False,H5,chop,-73.71,0.0711,-0.7495,2,296.91,0.4474,0.0,-0.1708,-52.5009,616.5,5.2839,0.2479,2,-162.09,0.1795,0.0,-0.1916,-210.5239,616.5,5.2839,-0.5866,2,-162.09,0.1415,0.0,-0.0666,-223.2575
1757107800000,long,4296.1525,20.46868103977988,0.5187504581218385,False,H5,chop,-210.13,8.4277,-0.9177,1,-210.13,0.4622,0.0,-0.129,-45.8017,40.65,0.9301,1.2579,1,-75.87,0.2174,0.0,0.0568,48.6534,-1112.61,1.7748,0.9679,7,-111.64,0.1207,0.0,-0.0924,-604.1479
1757423700000,long,4334.133100000001,14.875881385024131,0.7504837633318325,False,H5,chop,44.39,0.5777,-1.0484,1,-52.0,0.4023,0.0,0.2769,159.4117,36.13,0.8254,-1.4439,4,-208.49,0.2213,0.0,-0.0135,-17.5875,-401.24,1.3749,-0.0504,5,-208.49,0.1393,1.0,-0.0294,-200.5643
1757596500000,long,4387.1025,26.901231327517436,6.188672519793898,False,H5,chop,-426.92,4.9632,-0.464,4,-36.51,0.298,0.0,-0.1762,-171.2844,-269.07,1.813,-0.2681,2,-0.88,0.2203,0.0,0.2328,311.6185,-695.99,2.5866,-0.8826,3,-37.39,0.1268,0.0,0.0029,23.6443
1757726100000,short,4723.581700000001,22.131181434870054,0.8887893080289699,False,H5,chop,-164.11,0.6691,0.5995,2,4.81,0.3236,0.0,0.0307,12.472,179.45,2.087,-0.0532,2,-25.9,0.2326,0.0,-0.1581,-97.7381,15.34,1.0232,-0.1128,2,-25.9,0.1605,0.0,-0.0123,-29.3437
1757861100000,long,4589.8416,18.705925513855583,1.0098149600406456,False,H5,chop,286.82,0.7774,-0.5751,9,-992.35,0.2612,0.0,-0.245,-799.004,862.78,0.241,0.4209,2,-117.96,0.2299,0.0,0.252,432.5667,541.4,0.7851,0.731,6,-992.35,0.1065,0.0,-0.043,-492.9513
1758142800000,long,4489.813099999999,32.45010406145685,14.682057355571514,False,H5,trend,-139.65,139650000000.0,-1.2929,5,-139.65,0.5884,0.0,-0.4892,-113.3309,-517.41,1.6912,2.6199,3,-64.58,0.2256,1.0,0.1899,144.8938,-517.41,1.6912,1.5451,3,-64.58,0.1539,0.0,0.1857,306.3768
1758305700000,long,4443.4267,16.360995496382856,1.7771641645955654,False,H5,chop,-253.06,1.5756,-0.5023,10,-346.04,0.2755,0.0,-0.5276,-1509.4748,346.71,0.2289,-0.5261,0,38.29,0.3826,0.0,0.2585,167.0393,-82.48,1.0836,-0.7233,10,-346.04,0.1473,0.0,-0.2898,-1560.0658
1758548700000,long,4177.1675,22.23688050693348,-1.5000000000000004,False,H5,trend,-1165.09,180.7978,-0.1704,5,-1165.09,0.6285,0.0,-0.664,-313.8071,-343.16,1.4545,1.0013,6,-440.92,0.1621,0.0,0.0222,44.4824,-341.13,1.4499,-0.4137,6,-440.92,0.1603,0.0,0.0471,252.1352
1758776400000,long,3979.1169,31.876875801446566,1.0822658090778159,False,H5,chop,-27.06,1.6813,-1.1792,1,-27.06,0.2897,0.0,0.2049,209.1231,-250.92,1.7452,-0.4821,2,77.73,0.1357,0.0,0.0593,101.7515,-250.92,1.7452,-0.7113,2,77.73,0.1317,0.0,0.0798,279.2024
1758798900000,long,3997.3943,20.005660734888675,-1.1862635919422835,False,H5,chop,-968.9,2.0679,2.2874,7,-232.09,0.2948,1.0,-0.3568,-419.6277,-197.68,1.275,0.3899,4,-649.34,0.3089,0.0,-0.0471,-49.334,-931.74,1.3952,1.5441,5,-232.09,0.235,0.0,-0.1114,-428.1933
1758895200000,short,3971.6655,28.025507325621266,-1.15401313761345,False,H5,chop,114.49,1.388,-0.4745,1,-50.57,0.4328,0.0,-0.2795,-143.7687,-210.03,0.5771,-0.2552,3,-56.61,0.1998,0.0,-0.1849,-228.8069,-210.03,0.5771,-0.8645,3,-56.61,0.1224,0.0,-0.086,-324.828
1759377600000,long,4373.4871,18.0843168912366,-1.3219530451188355,False,H5,chop,-10.16,1.3001,-0.9637,1,-10.16,0.9104,0.0,-0.0942,-13.8562,-33.31,1.0922,0.5366,3,-96.94,0.3984,0.0,0.1759,81.5552,580.31,0.7029,1.4364,9,-264.38,0.221,0.0,-0.1119,-311.8055
1760157900000,long,3779.9487,53.06710794544712,-1.1753713501551344,False,H5,trend,38.29,0.7214,-0.8192,1,38.29,0.4499,1.0,0.2242,34.5154,47.03,0.7717,0.1977,2,-74.95,0.2349,0.0,0.1483,36.7847,21.01,0.9533,-0.7984,2,-61.79,0.1336,0.0,0.0395,49.2671
1760233500000,short,3727.991,28.630761807479757,0.6840827428834734,False,H5,chop,-14.7,0.3564,-0.6258,2,14.7,0.5627,0.0,-0.0657,-9.5209,-32.41,0.8527,-0.1768,2,-7.5,0.3269,0.0,-0.2505,-113.1374,449.0,1.8643,0.1314,2,-25.64,0.182,0.0,-0.0272,-59.9991
1760243400000,short,3812.7309999999998,29.528040215940596,-1.167902446239871,False,H5,chop,-236.81,0.4869,-0.1723,3,-31.98,0.6149,0.0,0.0801,29.6098,268.16,2.2031,-0.3062,2,-98.65,0.2889,0.0,-0.069,-55.6502,392.14,1.4754,0.1815,4,-153.13,0.2016,0.0,0.1531,442.9613
1760318100000,long,4133.045899999999,30.677210459772226,0.6560269166389204,False,H5,chop,-0.09,1.0016,-0.3834,1,-10.19,0.3451,0.0,0.1829,16.9683,8.72,0.8425,-0.9191,1,19.95,0.2167,0.0,0.0383,12.3437,58.81,0.7634,-0.5457,1,-66.93,0.09,0.0,0.1433,214.3314
1760356800000,long,4071.3291,30.802600222812845,8.141765398376739,False,H5,trend,-20.64,1.2222,-0.3215,2,-20.64,0.3852,0.0,0.077,12.2408,419.94,0.4004,0.6435,1,14.88,0.1653,0.0,0.1834,231.9489,419.94,0.4004,-0.3631,1,14.88,0.1219,0.0,0.1523,526.8562
1760449500000,long,3929.2688,34.108366731603226,1.7483988228764313,False,H5,chop,-429.41,2.0026,1.1043,1,-38.15,0.1993,0.0,-0.0576,-38.5029,-22.06,1.4807,-1.0216,3,-7.94,0.1627,0.0,0.0446,77.8026,-132.89,1.0727,0.7687,5,-1.5,0.0915,0.0,0.0173,110.8508
1760465700000,short,4127.8901,43.98756105816937,0.9436818969650935,False,H5,chop,152.52,5.0967,-0.348,3,3.57,0.537,1.0,0.3387,62.5099,272.46,3.0613,-0.1419,1,9.56,0.2277,0.0,-0.1503,-55.8622,419.77,2.8168,-0.7043,3,9.56,0.1444,0.0,0.0693,115.4283
1760704200000,short,3790.3869999999997,31.95807738118709,0.3631002457851561,False,H5,chop,-531.04,0.0839,0.2441,1,1.83,0.6333,0.0,0.2339,65.5521,1360.45,3.4296,3.5854,2,-83.67,0.2758,1.0,0.0736,40.2371,944.55,1.7025,1.3388,2,-5.97,0.2101,0.0,0.089,206.9302
1761575400000,long,4140.808300000001,23.08331341794356,0.3195388221026115,False,H5,chop,952.65,0.3596,2.6232,0,46.22,0.5841,1.0,0.3092,99.6802,-48.99,1.8123,-0.9588,5,-19.25,0.3033,0.0,-0.0136,-11.6855,228.21,0.912,2.2993,10,-42.43,0.1639,0.0,-0.0963,-385.4607
1762324200000,short,3328.5,28.254345365803076,0.4048437319468373,False,H5,chop,121.69,1522.125,-0.6988,2,-121.69,0.7204,0.0,0.2327,16.4322,14.0,1.1198,-1.2619,2,-34.54,0.3481,1.0,0.1188,32.0829,78.68,1.1383,-0.391,3,-3.84,0.2014,0.0,-0.0661,-123.7473
1762468200000,short,3314.0775000000003,23.258753212740487,0.561499545766833,False,H5,chop,-10.1,0.4679,-0.9912,1,1.86,0.4667,0.0,-0.0987,-11.3811,66.05,1.9097,-0.8411,1,34.18,0.2945,0.0,-0.2053,-89.2137,-18.41,0.9866,2.9661,4,-122.96,0.195,1.0,0.0246,35.1911
1762522200000,short,3237.2915000000003,22.658051515173327,0.928881954691803,False,H5,chop,587.93,4.4678,1.1129,8,18.34,0.2904,0.0,0.3473,153.0361,-380.58,0.7035,2.0459,2,16.1,0.3784,1.0,-0.1195,-87.1911,1518.07,1.5866,2.7861,4,-50.16,0.2103,1.0,0.139,500.1666
1763082900000,long,3195.7524999999996,30.726482776130567,0.5427072899104226,False,H5,chop,113.8,0.7214,1.3913,1,71.01,0.3876,1.0,0.1883,36.0839,-645.06,2.7739,1.1016,2,10.66,0.193,0.0,0.0627,56.52,-548.7,1.391,1.1958,5,-87.03,0.1442,1.0,0.0349,88.7456
1763102700000,long,3136.0256,34.23794323655418,-1.4999999999999818,False,H5,trend,-15.56,15560000000.0,-1.1198,2,-15.56,0.5133,0.0,-0.0232,-3.7654,-109.34,1.2646,0.2151,2,-63.19,0.0982,0.0,0.2387,536.1338,-109.34,1.2646,-0.466,3,-63.19,0.1007,0.0,0.0089,36.8825
1763332200000,short,3078.325,25.954715797076265,-1.2125195121083154,False,H5,chop,155.18,4.6385,0.4606,2,-48.98,0.4429,1.0,0.3394,29.4937,281.86,2.1992,1.6769,2,-77.45,0.3065,1.0,0.1343,40.9232,926.47,2.3685,1.954,4,-41.3,0.1319,0.0,0.1265,297.7278
1763389800000,long,3119.0119,24.894517188533502,-1.1926024685932919,False,H5,trend,-140.62,1.3011,1.3607,1,-20.37,0.5549,1.0,0.0237,5.1883,63.11,0.803,-0.5002,3,-132.43,0.1335,0.0,0.0828,373.6489,-401.25,1.2276,1.2906,4,-375.13,0.0779,0.0,0.0556,530.1834
1763436600000,long,2963.6534,33.82997722267944,13.022428695236593,False,H5,trend,-210.27,7.7763,-0.2854,7,-210.27,0.3315,0.0,-0.2815,-55.9785,-268.69,1.6837,0.1236,5,-2.23,0.1117,0.0,0.1418,308.2609,-1474.84,1.6539,2.1,3,-49.62,0.085,0.0,-0.0462,-280.2308
1763651700000,long,2968.3985000000002,26.875707495757666,-1.1187522367720082,False,H5,chop,2.3,0.883,-1.1358,4,2.3,0.3604,0.0,-0.3684,-129.0548,-732.88,2.8756,0.1678,4,-84.76,0.2192,0.0,0.0543,106.5583,524.84,0.8848,1.7623,5,-26.05,0.1316,0.0,-0.0811,-638.135
1763726400000,long,2681.3025,26.939519009566038,-1.1294283146223876,False,H5,chop,85.98,0.6602,-0.6771,0,78.44,0.4857,0.0,0.4918,140.3191,11.84,0.9666,-0.4445,4,-55.33,0.25,0.0,-0.1274,-121.968,57.58,0.9112,-0.9699,1,-131.78,0.0554,0.0,-0.0316,-344.7129
1763758800000,long,2731.7114,31.010818316599515,0.6425868274159516,False,H5,chop,-374.42,3.3824,0.4087,3,-250.74,0.3314,0.0,-0.229,-73.1509,20.3,0.7788,-0.8601,1,-8.2,0.3717,0.0,0.0195,5.0895,20.3,0.7788,-0.9456,1,-8.2,0.2144,0.0,0.0161,26.1744
1763966700000,long,2830.0504,20.910505845737813,-1.4961488244951953,False,H5,chop,-67.39,2.4238,-1.1456,1,-67.39,0.3928,0.0,-0.148,-28.8869,-650.64,2.8027,0.8628,3,24.63,0.4257,0.0,-0.2237,-130.2025,-650.64,2.8027,-0.0617,5,24.63,0.3174,0.0,-0.0637,-190.1728
1764552600000,long,2843.822,20.826197648889305,0.7223318307554623,False,H5,chop,-1801.67,4.1064,2.036,3,-7.84,0.6191,1.0,-0.351,-192.5392,-525.17,2.963,0.3439,1,0.61,0.2652,0.0,0.1288,102.8901,-3141.18,2.9729,1.0239,2,-12.45,0.2246,0.0,0.0074,35.3132
1764792000000,short,3130.8143,20.751272359984956,-1.3550471463216982,False,H5,chop,16.37,1.172,-0.3264,0,-16.37,0.973,0.0,-0.0635,-3.1945,43.26,2.8238,-1.0974,2,-25.43,0.2977,0.0,-0.0181,-9.3459,522.92,2.1049,-0.2886,7,-139.22,0.1261,0.0,0.2223,926.7947
1764830700000,short,3207.375,15.108470103004116,0.44171835485059757,False,H5,chop,-331.11,0.5138,-0.431,4,-409.44,0.4823,0.0,0.0761,86.2099,1197.74,4.5613,0.2185,3,15.0,0.5543,0.0,0.2822,300.7571,1400.85,1.9528,1.3037,5,-109.26,0.2263,0.0,0.2541,1430.1574
