bar_ts,side,lvl,atr,r,oos,kind,regime,n_m15,last_m15_h,n_h1,last_h1_h,n_h4,last_h4_h,bounce_h1,bounce_h4,zona
1742419800000,short,85640.0,429.02514608056464,-1.1807990525070058,False,H5,chop,10,0.25,3,1.5,1,1.375,2,0,fresca
1742432400000,long,85990.0,442.098930525099,-1.3377901810372117,False,H5,chop,92,0.25,47,2.0,19,1.25,2,1,agotada
1742466600000,long,85140.0,273.3952367770473,0.6662491468195942,False,H5,chop,43,0.25,36,6.5,18,1.625,6,3,agotada
1742569200000,short,84200.0,345.85584888038886,1.3201504354710818,False,H5,chop,89,0.25,47,2.0,13,1.75,15,6,agotada
1742928300000,long,87560.0,299.372486270608,1.3191183188670865,False,H5,chop,82,0.25,44,1.75,19,1.6875,12,5,agotada
1742941800000,long,87300.0,308.56559695811677,-1.3821318157234792,False,H5,chop,69,0.25,33,4.5,18,1.625,11,6,agotada
1743000300000,long,86510.0,338.0621368124786,-1.44896557562321,False,H5,chop,4,0.25,9,1.75,9,7.6875,4,5,agotada
1743008400000,long,86440.0,346.2744076761859,-1.2842565765497673,False,H5,chop,13,0.25,10,2.0,9,1.25,8,5,agotada
1743083100000,long,85920.0,286.5756082461729,1.1294612232406074,False,H5,chop,6,0.25,2,18.75,1,5.4375,2,1,fresca
1743088500000,short,87340.0,336.83158275132877,1.7382604381345408,False,H5,chop,54,0.25,39,1.25,17,1.8125,12,11,agotada
1743248700000,long,81990.0,280.38962099943785,-1.4999999999999976,False,H5,chop,1,0.25,0,0.0,0,0.0,0,0,virgen
1743268500000,long,81850.0,260.42435353849163,4.428548856412625,False,H5,trend,4,0.25,2,5.25,2,1.3125,2,1,fresca
1743355800000,short,82410.0,233.9472960566473,-1.3725883617780525,False,H5,chop,96,0.25,47,1.5,19,1.375,5,3,agotada
1743372900000,long,81780.0,246.60117389910943,-0.31249692111102606,False,H5,trend,3,0.25,4,1.25,3,1.5625,3,2,confirmada
1743426000000,short,82750.0,309.39889401750514,0.7271946265850494,False,H5,chop,35,0.25,33,15.0,16,4.25,17,8,agotada
1743584400000,long,84610.0,269.98887506267715,-1.498498715174704,False,H5,trend,69,0.25,43,2.0,19,1.25,9,4,agotada
