num,fecha,symbol,session,range_bars,range_pct,range_cvd,pre_cvd_flip,cvd_flip_ratio,vr_at_breakout,breakout_delta,close_loc,bear_body,upper_wick,entry_price,stop_price,target_price,rr,result_r,exit_reason,bars_held,exit_price,pnl_usd,balance_after
20,2026-01-23 09:59,XRPUSDT,London,8,0.0009955984070425554,118408.29999999996,-116202.50000000003,0.9813712383337998,6.203200672816877,-825118.6000000001,0.261,0.696,0.043,1.9067,1.9088,1.905,0.8095238095238296,-1.0,STOP,1,1.9088,-10.01,490.53
21,2026-01-23 13:29,ETHUSDT,LondonNyOverlap,8,0.002091125467527928,1125.145,-752.3830000000004,0.6686987010563087,3.0378666582555858,-2330.7749999999996,0.0,1.0,0.0,2936.12,2942.93,2930.6300000000006,0.806167400880965,0.806,TARGET,9,2930.63,7.91,498.44
22,2026-01-23 13:30,XRPUSDT,LondonNyOverlap,8,0.0012051349227142733,71411.20000000004,-114761.4,1.6070504346657097,3.485081589524893,-84206.90000000002,0.167,0.833,0.0,1.9075,1.9103,1.9056999999999997,0.6428571428571995,0.643,TARGET,7,1.9057,6.41,504.85
23,2026-01-26 09:50,BTCUSDT,London,8,0.0017012138976965868,36.553,-17.364999999999995,0.47506360627034705,2.741589321042938,-93.41199999999999,0.287,0.691,0.022,87590.8,87774.7,87476.50000000001,0.6215334420880477,-1.0,STOP,14,87774.7,-10.1,494.75
24,2026-01-27 12:36,XRPUSDT,LondonNyOverlap,8,0.0013775564268305265,128223.40000000005,-65156.799999999974,0.508150618373869,4.340068889601998,-540740.1000000001,0.3,0.65,0.05,1.8861,1.8898,1.8846,0.40540540540544107,0.405,TARGET,5,1.8846,4.01,498.76
25,2026-01-27 13:10,SOLUSDT,LondonNyOverlap,8,0.0018605403656366604,452.849999999999,-22711.539999999997,50.152456663354414,5.74677493393212,-14592.43,0.182,0.727,0.091,123.53,123.83,123.36999999999999,0.5333333333333744,0.533,TARGET,10,123.37,5.32,504.07
26,2026-01-29 08:00,SOLUSDT,London,8,0.0022633578530434173,2966.530000000002,-3073.5699999999993,1.0360825611067466,3.6528885736874708,-2826.369999999999,0.143,0.81,0.048,123.55,123.9,123.34,0.5999999999999676,0.6,TARGET,7,123.34,6.05,510.12
27,2026-01-29 08:01,XRPUSDT,London,8,0.0018585386576041093,132421.20000000007,-55002.29999999999,0.41535871899665583,3.0034676798637947,-193752.69999999995,0.0,1.0,0.0,1.8819,1.8867,1.8797,0.458333333333316,0.458,TARGET,5,1.8797,4.67,514.79
28,2026-01-30 09:25,ETHUSDT,London,8,0.003156690644316904,2449.7519999999995,-5552.465999999999,2.2665420826271396,2.8934657715881666,-3057.039,0.142,0.799,0.059,2721.14,2732.88,2715.66,0.46678023850084394,0.467,TARGET,24,2715.66,4.81,519.6
29,2026-01-31 12:01,XRPUSDT,LondonNyOverlap,8,0.0019997647335607987,202825.19999999998,-108743.39999999997,0.5361434377976699,2.597238721825712,-130786.0,0.029,0.794,0.176,1.6975,1.7016,1.6947999999999999,0.6585365853658907,0.659,TARGET,10,1.6948,6.85,526.45
30,2026-01-31 13:34,XRPUSDT,LondonNyOverlap,8,0.004934601664684884,118416.89999999972,-82004.90000000002,0.692510106243283,4.862669174878366,-597147.4999999998,0.265,0.735,0.0,1.6784,1.6883,1.6717,0.6767676767676681,0.677,TARGET,9,1.6717,7.13,533.58
31,2026-02-01 13:50,BNBUSDT,LondonNyOverlap,8,0.0027947848015702497,55.36000000000006,-315.15,5.692738439306352,2.8528931387469174,-661.29,0.274,0.726,0.0,768.75,771.31,767.01,0.6796875000000181,0.68,TARGET,2,767.01,7.26,540.84
32,2026-02-01 14:10,BTCUSDT,LondonNyOverlap,8,0.0038502528924817567,53.97400000000005,-22.738000000000014,0.4212769111053469,3.2208969076370755,-134.706,0.163,0.837,0.0,78093.3,78402.3,77799.7,0.9501618122977534,0.95,TARGET,18,77799.7,10.28,551.11
33,2026-02-04 13:33,BTCUSDT,LondonNyOverlap,8,0.0017624943315439966,49.32,-214.477,4.348682076236821,4.605293375477117,-251.09300000000002,0.108,0.669,0.223,75770.9,75915.2,75647.8,0.8530838530837753,0.853,TARGET,2,75647.8,9.4,560.51
34,2026-02-05 08:59,XRPUSDT,London,8,0.0041178112786153095,227708.40000000002,-169865.1999999999,0.7459768721751147,5.338236480219679,-1021552.3999999999,0.26,0.727,0.013,1.4271,1.4334,1.4216,0.8730158730158865,-1.0,STOP,7,1.4334,-11.21,549.3
35,2026-02-06 09:10,XRPUSDT,London,8,0.006391990758567558,110932.50000000009,-761953.2000000001,6.868620106821711,4.956840835713402,-649589.2999999998,0.232,0.681,0.087,1.2939,1.3025,1.2859,0.9302325581395421,-1.0,STOP,9,1.3025,-10.99,538.32
36,2026-02-10 08:15,BTCUSDT,London,8,0.002610491676514235,4.1699999999999875,-34.40499999999999,8.250599520383714,2.5642486592450333,-108.999,0.002,0.998,0.0,68709.8,68956.6,68597.4,0.4554294975689117,-1.0,STOP,8,68956.6,-10.77,527.55
37,2026-02-10 11:54,XRPUSDT,London,8,0.004333617504973,178797.39999999994,-1943270.0,10.86855849134272,2.8409405504907532,-768851.4,0.111,0.833,0.056,1.4062,1.4132,1.401,0.742857142857112,-0.5,TIME_STOP,30,1.4097,-5.28,522.28
