num,fecha,symbol,session,direction,score,result_r,status,entry,stop,target,risk,n_pre_bars,pct_done,pre_move_r,cum_delta,last5_delta,avg_cvd,last5_cvd,avg_obi,avg_vpin,stacked_bear,stacked_bull,absorption_n,thin_above_n,expansion_n,oi_mom_n,ask_wall_n,first_bear_bar,first_neg_delta_bar,has_data
16,2026-06-06 08:27,BTCUSDT,London,Long,0,0.996943,TRAILING_STOP,61185.69921875,61032.7349707031,61461.0348652344,152.9642,25,54.9,2.19,329.4,135.9,8.96,15.64,0.1829,0.2643,19,6,0,25,11,19,25,25,13,True
17,2026-06-06 09:47,BTCUSDT,London,Short,0,1.323646,TRAILING_STOP,60961.703125,61114.1073828125,60656.894609375,152.4043,25,52.5,2.21,82.1,-20.8,1.12,-8.32,0.2508,0.2123,16,9,0,24,4,10,25,25,24,True
18,2026-06-06 11:02,BTCUSDT,London,Long,0,-1,STOP,60737.30078125,60585.4575292969,61010.6186347656,151.8433,25,65.0,3.35,702.8,103.5,16.44,2.12,-0.2267,0.221,18,7,4,25,2,0,25,25,,True
19,2026-06-06 12:03,BTCUSDT,London,Long,0,-0.045304,TIME_STOP,60935.1015625,60782.7638085938,61209.3095195312,152.3378,25,45.8,1.52,272.8,325.6,1.32,18.24,-0.1141,0.2772,16,9,0,25,6,0,25,23,17,True
20,2026-06-06 16:19,BNBUSDT,LondonNyOverlap,Short,0,2,TARGET,574.390014648438,575.825989685059,571.518064575195,1.436,25,55.7,2.51,-1017.2,-99.2,-38.91,12.63,0.0809,0.3028,17,8,0,16,0,0,8,25,14,True
21,2026-06-07 08:02,BTCUSDT,London,Long,0,-1,STOP,62399.69921875,62243.6999707031,62680.4978652344,155.9992,25,47.1,1.6,1210.0,-30.5,51.42,113.42,0.0524,0.2877,17,8,2,25,10,0,25,25,17,True
22,2026-06-07 08:05,ETHUSDT,London,Short,4,-1,STOP,1610.19006347656,1614.21553863525,1602.13911315918,4.0255,25,41.7,1.43,-722.8,-587.3,-24.58,-78.15,-0.1658,0.2287,13,12,0,25,0,0,25,25,25,True
23,2026-06-07 08:36,SOLUSDT,London,Long,5,1.8,TARGET,65.0,64.8375,65.2925,0.1625,25,65.7,3.45,24261.7,1263.9,835.16,26.1,-0.0614,0.277,8,13,0,0,13,19,0,25,25,True
24,2026-06-07 09:47,ETHUSDT,London,Short,4,-1,STOP,1630.330078125,1634.40590332031,1622.17842773437,4.0758,25,58.9,2.86,-24861.2,-436.5,-1009.42,-99.69,-0.062,0.2588,14,11,6,25,9,0,24,25,24,True
25,2026-06-07 09:47,BNBUSDT,London,Short,3,-1,STOP,592.780029296875,594.261979370117,589.816129150391,1.482,25,59.6,2.96,-10010.3,-1572.6,-376.6,-132.22,-0.1677,0.4437,19,6,3,18,13,0,14,25,23,True
26,2026-06-07 11:36,BTCUSDT,London,Long,5,-0.046005,TIME_STOP,62595.19921875,62438.7112207031,62876.8776152344,156.488,25,42.4,1.33,218.2,-7.1,10.43,3.61,0.0893,0.3258,17,8,0,25,0,15,25,25,24,True
27,2026-06-07 11:38,ETHUSDT,London,Long,5,-1,STOP,1631.90991210938,1627.8301373291,1639.25350671387,4.0798,25,51.3,1.9,4076.8,-381.5,154.03,-111.99,0.017,0.2291,12,13,0,25,0,15,24,25,19,True
28,2026-06-07 12:07,BNBUSDT,London,Short,3,2,TARGET,593.340026855469,594.823376922607,590.373326721191,1.4834,25,37.5,1.2,172.3,-248.6,-6.05,-24.38,0.2031,0.2653,10,15,0,19,0,5,5,19,14,True
29,2026-06-07 14:17,SOLUSDT,LondonNyOverlap,Long,0,1.023327,TRAILING_STOP,64.5500030517578,64.3886280441284,64.8404780654907,0.1614,25,56.0,2.29,7003.4,-2353.8,915.36,-1067.95,-0.0127,0.28,14,6,0,0,5,16,0,25,25,True
30,2026-06-07 14:18,ETHUSDT,LondonNyOverlap,Long,6,1.8,TARGET,1621.69995117188,1617.64570129395,1628.99760095215,4.0542,25,44.2,1.43,6304.6,1088.6,242.12,54.36,-0.11,0.2256,16,9,0,25,0,5,22,25,15,True
31,2026-06-07 14:18,BNBUSDT,LondonNyOverlap,Long,4,1.8,TARGET,591.280029296875,589.801829223633,593.940789428711,1.4782,25,48.0,1.66,-19.9,241.8,-1.45,6.64,-0.0079,0.2733,13,12,0,18,8,14,3,25,23,True
32,2026-06-07 15:30,BTCUSDT,LondonNyOverlap,Long,4,-0.070351,TIME_STOP,61979.80078125,61824.8512792969,62258.7098847656,154.9495,25,54.9,2.19,760.0,376.7,23.33,51.27,-0.1023,0.2941,16,9,0,25,10,7,23,25,25,True
33,2026-06-07 15:39,BNBUSDT,LondonNyOverlap,Long,0,-1,STOP,593.210021972656,591.726996917725,595.879467071533,1.483,25,51.5,1.91,1826.7,957.4,89.35,178.65,-0.0808,0.3408,9,16,0,19,5,15,11,23,18,True
34,2026-06-07 15:45,ETHUSDT,LondonNyOverlap,Short,0,-1,STOP,1627.2900390625,1631.35826416016,1619.15358886719,4.0682,25,49.7,1.98,5435.2,84.6,239.41,109.47,-0.0,0.2126,10,15,4,25,12,10,23,25,13,True
35,2026-06-08 08:00,BNBUSDT,London,Short,4,-1,STOP,595.630004882812,597.119079895019,592.651854858398,1.4891,25,42.9,1.5,-43.3,-70.8,-4.75,-53.31,-0.0411,0.3385,15,10,0,15,0,14,7,24,22,True
36,2026-06-08 08:01,ETHUSDT,London,Short,3,2,TARGET,1667.23999023438,1671.40809020996,1658.9037902832,4.1681,25,57.7,2.73,-4553.4,-1942.5,-164.9,-332.71,0.0202,0.2553,16,9,2,25,3,7,22,25,24,True
37,2026-06-08 09:03,BTCUSDT,London,Long,6,1.8,TARGET,63239.0,63080.9025,63523.5755,158.0975,25,45.6,1.51,12.2,76.9,-0.43,10.75,0.0949,0.2932,13,12,0,25,3,10,25,25,21,True
38,2026-06-08 10:17,BTCUSDT,London,Short,0,-0.012643,TIME_STOP,63278.5,63436.69625,62962.1075,158.1963,25,43.8,1.56,-179.0,-31.6,-6.51,-20.36,-0.056,0.2729,16,9,0,24,12,5,24,25,25,True
39,2026-06-08 10:27,BNBUSDT,London,Short,0,-1,STOP,597.309997558594,598.80327255249,594.323447570801,1.4933,25,49.4,1.95,-334.3,125.9,-16.49,135.07,0.0403,0.258,17,8,4,18,10,7,12,24,23,True
40,2026-06-08 11:10,SOLUSDT,London,Long,6,1.8,TARGET,66.4599990844727,66.2938490867615,66.7590690803528,0.1661,25,61.6,2.89,-10643.2,16961.0,-548.84,2295.27,0.1134,0.2919,12,7,6,0,1,4,0,25,24,True
41,2026-06-08 11:36,BTCUSDT,London,Long,4,-1,STOP,63735.69921875,63576.3599707031,64022.5098652344,159.3392,25,59.8,2.68,564.0,17.0,25.72,-19.5,0.1082,0.3033,16,9,1,25,19,8,25,25,20,True
42,2026-06-08 12:01,BNBUSDT,London,Short,4,-1,STOP,601.030029296875,602.532604370117,598.024879150391,1.5026,25,53.7,2.32,-2748.7,317.8,-78.86,26.6,-0.0771,0.3157,13,12,3,16,17,11,11,25,22,True
43,2026-06-08 12:57,BNBUSDT,London,Long,5,-1,STOP,603.799987792969,602.290487823486,606.517087738037,1.5095,25,58.3,2.52,854.9,49.0,26.4,-20.61,0.1625,0.3238,12,13,4,21,9,0,19,24,19,True
44,2026-06-08 13:29,BNBUSDT,LondonNyOverlap,Short,5,-1,STOP,600.2900390625,601.790764160156,597.288588867188,1.5007,25,50.6,2.05,-1616.8,-739.8,-74.6,-30.99,-0.165,0.3496,16,9,0,19,4,5,19,25,15,True
45,2026-06-08 15:01,BNBUSDT,LondonNyOverlap,Long,4,1.8,TARGET,604.4599609375,602.948811035156,607.180030761719,1.5111,25,58.3,2.52,963.5,778.9,36.24,171.21,0.1239,0.245,13,12,0,21,4,0,14,25,21,True
46,2026-06-08 15:12,BTCUSDT,LondonNyOverlap,Long,5,-1,STOP,64151.19921875,63990.8212207031,64439.8796152344,160.378,25,55.7,2.26,1519.1,41.5,60.72,5.09,0.098,0.2296,21,4,3,25,1,4,25,25,,True
47,2026-06-08 16:21,ETHUSDT,LondonNyOverlap,Long,4,-1,STOP,1701.34997558594,1697.09660064697,1709.00605047607,4.2534,25,65.8,3.47,1955.9,4006.6,-126.12,440.24,-0.0017,0.2721,14,11,1,25,9,16,22,25,24,True
48,2026-06-08 16:55,SOLUSDT,LondonNyOverlap,Short,3,2,TARGET,66.9199981689453,67.0872981643677,66.5853981781006,0.1673,25,64.2,3.59,-89385.7,-6842.4,-3866.84,-1909.67,-0.0195,0.3579,16,9,0,0,12,0,0,25,24,True
49,2026-06-09 08:06,SOLUSDT,London,Short,5,-0.300379,TIME_STOP,66.5800018310547,66.7464518356323,66.2471018218994,0.1665,25,51.3,2.1,-8767.4,-22612.5,282.17,-1573.83,-0.0612,0.2854,9,12,0,0,2,0,0,24,5,True
50,2026-06-09 08:07,BNBUSDT,London,Short,3,2,TARGET,602.299987792969,603.805737762451,599.288487854004,1.5057,25,45.5,1.67,-174.8,-559.5,1.81,-88.06,0.1084,0.3427,10,14,0,22,12,7,13,24,21,True
51,2026-06-09 09:16,ETHUSDT,London,Long,5,-1,STOP,1677.84008789062,1673.6454876709,1685.39036828613,4.1946,25,45.2,1.49,3069.0,429.3,114.18,-75.16,0.0298,0.2905,12,13,5,25,4,12,23,23,16,True
